variant,date,cash,position_value,equity,open_tickers,open_count
window_126d,2025-03-13,5497.240734625043,4502.759265374957,10000.0,VRSK,1
window_126d,2025-03-14,6505.625041264104,3944.650885273392,10450.275926537495,COST,1
window_126d,2025-03-17,5626.904354909747,5217.836660155089,10844.741015064836,GEHC,1
window_126d,2025-03-18,5731.368648617815,4591.588700431513,10322.957349049328,ROP,1
window_126d,2025-03-19,5393.972364868349,5388.143854224131,10782.11621909248,GEHC,1
window_126d,2025-03-20,5405.550246679947,4837.751586990119,10243.301833670066,TTWO,1
window_126d,2025-03-21,4939.752470009613,4819.774204961441,9759.526674971054,BKR,1
window_126d,2025-03-24,5277.086939667844,4964.417155799355,10241.504095467199,TTWO,1
window_126d,2025-03-25,5410.1732707515375,5327.7725402955975,10737.945811047135,GEHC,1
window_126d,2025-03-26,5269.366943439112,4935.801613578464,10205.168557017576,MSTR,1
window_126d,2025-03-27,474.5188690982786,9661.153177872868,10135.672046971147,"INSM,MSTR",2
window_126d,2025-03-28,4858.398781614288,4373.704806611359,9232.103588225647,FANG,1
window_126d,2025-03-31,4621.526654664056,4173.2064529004565,8794.733107564512,COST,1
window_126d,2025-04-01,5025.7486555022715,4186.305097352286,9212.053752854557,VRSK,1
window_126d,2025-04-02,4934.556138842862,3858.8671042764663,8793.423243119329,TMUS,1
window_126d,2025-04-03,5040.668955619851,4138.640997927125,9179.309953546976,VRTX,1
window_126d,2025-04-04,4484.123618872811,4281.3222348814525,8765.445853754263,MSTR,1
window_126d,2025-04-07,4972.52272494928,3364.7909053168382,8337.313630266119,TMUS,1
window_126d,2025-04-08,4426.257934226457,3574.5766055079775,8000.834539734435,COST,1
window_126d,2025-04-09,4252.558332976353,4105.733867308879,8358.292200285232,BKR,1
window_126d,2025-04-10,4507.91400441769,3439.8048091366536,7947.718813554344,EA,1
window_126d,2025-04-11,4351.027121279888,3940.6721731881216,8291.69929446801,VRSK,1
window_126d,2025-04-14,4466.6952149123845,4219.071296874439,8685.766511786824,VRTX,1
window_126d,2025-04-15,4571.975355138288,4535.69828633598,9107.673641474268,TTWO,1
window_126d,2025-04-16,8654.103812840669,0.0,8654.103812840669,,0
window_126d,2025-04-17,8654.103812840669,0.0,8654.103812840669,,0
window_126d,2025-04-21,5540.484599446114,3113.619213394555,8654.103812840669,ADSK,1
window_126d,2025-04-22,4786.014950938123,4179.450783242002,8965.465734180125,ISRG,1
window_126d,2025-04-23,5498.583002098004,3884.827810406322,9383.410812504326,TMUS,1
window_126d,2025-04-24,9771.893593544959,0.0,9771.893593544959,,0
window_126d,2025-04-25,4915.056954194425,4856.836639350534,9771.893593544959,BKR,1
window_126d,2025-04-28,6104.73264863759,4152.8446088424225,10257.577257480012,VRSK,1
window_126d,2025-04-29,6446.198402363065,4226.663316001192,10672.861718364256,VRSK,1
window_126d,2025-04-30,6772.828007788703,4322.700042175671,11095.528049964374,VRSK,1
window_126d,2025-05-01,1312.552362999997,9877.73740553485,11190.289768534847,"TMUS,VRSK",2
window_126d,2025-05-02,5812.582593214486,5396.703017011191,11209.285610225677,MNST,1
window_126d,2025-05-05,5348.070111416602,5321.5451971079565,10669.615308524559,VRSK,1
window_126d,2025-05-06,6181.982775890918,5019.787052344438,11201.769828235356,VRSK,1
window_126d,2025-05-07,6221.410962757133,5482.337570712666,11703.7485334698,GEHC,1
window_126d,2025-05-08,6224.045009205318,6027.9372813357495,12251.982290541067,CPRT,1
window_126d,2025-05-09,6739.560907856575,6115.215110818067,12854.776018674642,DASH,1
window_126d,2025-05-12,6776.404888830028,6689.89264092642,13466.297529756448,CTAS,1
window_126d,2025-05-13,14135.28679384909,0.0,14135.28679384909,,0
window_126d,2025-05-14,9018.696368593075,5116.590425256016,14135.28679384909,KLAC,1
window_126d,2025-05-15,9020.854481503058,4602.77326982043,13623.627751323489,KLAC,1
window_126d,2025-05-16,6702.10202014696,6461.2484041944845,13163.350424341445,MNST,1
window_126d,2025-05-19,9396.327283205152,4413.147981555741,13809.475264760893,KLAC,1
window_126d,2025-05-20,7763.271083493977,6487.518979422492,14250.790062916469,VRSK,1
window_126d,2025-05-21,7602.072758264379,7297.469202594339,14899.541960858718,ROST,1
window_126d,2025-05-22,7912.536253888817,7716.752627229336,15629.288881118153,MNST,1
window_126d,2025-05-23,16400.964143841087,0.0,16400.964143841087,,0
window_126d,2025-05-27,9178.50554967496,7222.458594166128,16400.964143841087,MSTR,1
window_126d,2025-05-28,8733.8002005005,6944.918083923974,15678.718284424474,MSTR,1
window_126d,2025-05-29,8194.44329786069,8178.766794956183,16373.210092816873,TMUS,1
window_126d,2025-05-30,8621.659088548593,8569.427683763897,17191.08677231249,MNST,1
window_126d,2025-06-02,8294.629936776146,8039.5140671599565,16334.144003936102,TMUS,1
window_126d,2025-06-03,8858.381190922868,8279.71421972923,17138.0954106521,KLAC,1
window_126d,2025-06-04,9034.68230709785,8931.384525527174,17966.066832625023,BKR,1
window_126d,2025-06-05,10692.600149299564,8166.605135878176,18859.20528517774,KLAC,1
window_126d,2025-06-06,10390.882573178207,9284.983225587353,19675.86579876556,VRSK,1
window_126d,2025-06-09,9575.47889007313,9171.888586133697,18747.367476206826,ROP,1
window_126d,2025-06-10,9262.685999980164,8567.49261761329,17830.178617593454,TMUS,1
window_126d,2025-06-11,16973.429355832122,0.0,16973.429355832122,,0
window_126d,2025-06-12,16973.429355832122,0.0,16973.429355832122,,0
window_126d,2025-06-13,8636.03374019075,8337.395615641371,16973.429355832122,LRCX,1
window_126d,2025-06-16,9003.323691129583,8803.845226266676,17807.16891739626,IDXX,1
window_126d,2025-06-17,9096.763771093603,7830.020623675988,16926.78439476959,ROP,1
window_126d,2025-06-18,8129.8345553237905,8013.947777078201,16143.782332401992,MNST,1
window_126d,2025-06-20,8316.84973760737,7025.5378170868025,15342.387554694173,KLAC,1
window_126d,2025-06-23,8260.932590657885,7784.008745744969,16044.941336402855,GILD,1
window_126d,2025-06-24,8468.325524953441,8355.016686023911,16823.342210977353,MNST,1
window_126d,2025-06-25,8289.759770288989,7698.080772085972,15987.840542374961,GILD,1
window_126d,2025-06-26,10772.324474924557,5985.324144659003,16757.64861958356,ASML,1
window_126d,2025-06-27,9962.64207144836,7393.5389626011,17356.18103404946,AXON,1
window_126d,2025-06-30,9118.336493216118,8977.198437093453,18095.53493030957,MNST,1
window_126d,2025-07-01,18993.25477401892,0.0,18993.25477401892,,0
window_126d,2025-07-02,10039.532264096157,8953.722509922762,18993.25477401892,ZS,1
window_126d,2025-07-03,13164.729115855322,6723.897909155878,19888.6270250112,KLAC,1
window_126d,2025-07-07,12416.093825706695,6800.143408388918,19216.237234095614,AXON,1
window_126d,2025-07-08,10073.11010046253,8463.112792794193,18536.222893256723,INTU,1
window_126d,2025-07-09,10674.180886640395,7015.730727336909,17689.911613977303,AXON,1
window_126d,2025-07-10,8905.756831622948,8082.581709620663,16988.33854124361,CTAS,1
window_126d,2025-07-11,1224.6079296739454,15694.194318072077,16918.80224774602,"CTAS,INTU",2
window_126d,2025-07-14,9838.028598915715,9130.812088965895,18968.84068788161,AXON,1
window_126d,2025-07-15,19881.9218967782,0.0,19881.9218967782,,0
window_126d,2025-07-16,10050.821759654536,9831.100137123663,19881.9218967782,TRI,1
window_126d,2025-07-17,10452.882974989741,10412.148935500823,20865.031910490565,WBD,1
window_126d,2025-07-18,10583.375576233226,9240.441440707258,19823.817016940484,AXON,1
window_126d,2025-07-21,11208.262599136808,9539.598561874405,20747.861161011213,KLAC,1
window_126d,2025-07-22,10647.516803910843,9146.384500912929,19793.901304823772,INTU,1
window_126d,2025-07-23,20708.539754915066,0.0,20708.539754915066,,0
window_126d,2025-07-24,10384.382970449386,10324.15678446568,20708.539754915066,WBD,1
window_126d,2025-07-25,11264.008655007221,8412.115421461278,19676.1240764685,KLAC,1
window_126d,2025-07-28,10966.710750197135,9550.624868417492,20517.335618614627,INTU,1
window_126d,2025-07-29,12015.284647765533,9457.113457690844,21472.398105456377,INTU,1
window_126d,2025-07-30,11378.115530757235,11039.993920468225,22418.10945122546,INTU,1
window_126d,2025-07-31,11269.864935704889,10044.24512347375,21314.110059178638,DASH,1
window_126d,2025-08-01,10345.04282664765,9964.642720183614,20309.685546831264,CSGP,1
window_126d,2025-08-04,21306.149818849626,0.0,21306.149818849626,,0
window_126d,2025-08-05,10712.949944065374,10593.199874784252,21306.149818849626,ORLY,1
window_126d,2025-08-06,11331.991372346978,11033.478433981074,22365.469806328052,INTU,1
window_126d,2025-08-07,10830.435379303346,10431.686583626599,21262.121962929945,NVDA,1
window_126d,2025-08-08,13947.848433522076,8357.44218777053,22305.290621292606,KLAC,1
window_126d,2025-08-11,12065.30587149978,11075.72896856988,23141.03484006966,LIN,1
window_126d,2025-08-12,12224.261219435679,12024.34651749097,24248.60773692665,LRCX,1
window_126d,2025-08-13,13144.365278403298,12306.67711027245,25451.04238867575,TRI,1
window_126d,2025-08-14,17630.977748095134,9050.732351607858,26681.710099702992,KLAC,1
window_126d,2025-08-15,13202.546117445738,12574.090747096467,25776.636864542204,CSGP,1
window_126d,2025-08-18,2241.7045354609654,22567.809698398327,24809.514233859292,"CSGP,KLAC",2
window_126d,2025-08-19,4396.709942195952,19594.248469094513,23990.958411290463,"ALNY,KLAC",2
window_126d,2025-08-20,14138.56691181218,10200.744346387088,24339.31125819927,KLAC,1
window_126d,2025-08-21,12915.084945072018,12444.300747765961,25359.38569283798,ALNY,1
window_126d,2025-08-22,26603.81576761458,0.0,26603.81576761458,,0
window_126d,2025-08-25,16557.587132047724,10046.228635566855,26603.81576761458,KLAC,1
window_126d,2025-08-26,14001.87226183484,13606.566369336426,27608.438631171266,ORLY,1
window_126d,2025-08-27,14558.88900946617,14410.20625863874,28969.09526810491,ZS,1
window_126d,2025-08-28,16087.641723861288,14322.4741701075,30410.11589396879,ZS,1
window_126d,2025-08-29,14683.371587787715,14294.496889170325,28977.86847695804,MNST,1
window_126d,2025-09-02,15767.846799291558,14639.471366583515,30407.318165875073,LIN,1
window_126d,2025-09-03,15427.773890826458,13515.597138390265,28943.371029216723,CDNS,1
window_126d,2025-09-04,15200.307075953246,15094.623667102507,30294.930743055753,ORLY,1
window_126d,2025-09-05,15046.019789107639,13739.448587237865,28785.468376345503,ADP,1
window_126d,2025-09-08,15720.633633791871,14438.779601277425,30159.413235069296,ZS,1
window_126d,2025-09-09,19049.78043063674,12553.510764560302,31603.29119519704,BKNG,1
window_126d,2025-09-10,15765.18608834276,14582.754030398251,30347.94011874101,STX,1
window_126d,2025-09-11,19229.69189106245,12576.523630718388,31806.21552178084,BKNG,1
window_126d,2025-09-12,15799.874099525023,14748.68905918398,30548.563158709003,STX,1
window_126d,2025-09-15,16300.992295687742,15722.439768939661,32023.432064627403,GILD,1
window_126d,2025-09-16,15449.711626991068,15001.476460742373,30451.18808773344,GILD,1
window_126d,2025-09-17,16481.693916466826,15469.641817340857,31951.335733807682,MAR,1
