variant,date,cash,position_value,equity,open_tickers,open_count
window_252d_recent_weighted,2025-03-13,5497.240734625043,4502.759265374957,10000.0,VRSK,1
window_252d_recent_weighted,2025-03-14,5800.637488645559,4649.6384378919365,10450.275926537495,TMUS,1
window_252d_recent_weighted,2025-03-17,5479.9932493318065,5435.246520994884,10915.23977032669,GEHC,1
window_252d_recent_weighted,2025-03-18,5874.461506971044,4497.253611256158,10371.715118227203,VRSK,1
window_252d_recent_weighted,2025-03-19,5433.296625128688,5388.143854224131,10821.44047935282,GEHC,1
window_252d_recent_weighted,2025-03-20,5775.511146010728,4507.1149479196765,10282.626093930405,ROP,1
window_252d_recent_weighted,2025-03-21,5012.140394176995,4819.774204961441,9831.914599138436,BKR,1
window_252d_recent_weighted,2025-03-24,6310.883761161954,4003.008258472627,10313.89201963458,VRTX,1
window_252d_recent_weighted,2025-03-25,5029.799698516353,4883.791495270964,9913.591193787317,GEHC,1
window_252d_recent_weighted,2025-03-26,9425.21204426022,0.0,9425.21204426022,,0
window_252d_recent_weighted,2025-03-27,4999.198437176375,4426.013607083846,9425.21204426022,INSM,1
window_252d_recent_weighted,2025-03-28,4608.905876940477,4373.704806611359,8982.610683551837,FANG,1
window_252d_recent_weighted,2025-03-31,6082.838075520303,2462.402127370399,8545.240202890702,INTU,1
window_252d_recent_weighted,2025-04-01,4605.175318275456,4186.305097352286,8791.480415627742,VRSK,1
window_252d_recent_weighted,2025-04-02,4513.982801616047,3858.8671042764663,8372.849905892514,TMUS,1
window_252d_recent_weighted,2025-04-03,4620.095618393036,4138.640997927125,8758.73661632016,VRTX,1
window_252d_recent_weighted,2025-04-04,8344.872516527448,0.0,8344.872516527448,,0
window_252d_recent_weighted,2025-04-07,4980.0816112106095,3364.7909053168382,8344.872516527448,TMUS,1
window_252d_recent_weighted,2025-04-08,4433.816820487787,3574.5766055079775,8008.393425995764,COST,1
window_252d_recent_weighted,2025-04-09,4260.117219237683,4105.733867308879,8365.851086546561,BKR,1
window_252d_recent_weighted,2025-04-10,4515.47289067902,3439.8048091366536,7955.277699815673,EA,1
window_252d_recent_weighted,2025-04-11,4358.586007541217,3940.6721731881216,8299.258180729339,VRSK,1
window_252d_recent_weighted,2025-04-14,4788.742354315133,3904.583043733021,8693.325398048153,CSGP,1
window_252d_recent_weighted,2025-04-15,4548.085416085477,4535.69828633598,9083.783702421457,TTWO,1
window_252d_recent_weighted,2025-04-16,4512.262684593521,4117.951189194338,8630.21387378786,WDAY,1
window_252d_recent_weighted,2025-04-17,5106.979041429718,3111.439713438708,8218.418754868426,VRTX,1
window_252d_recent_weighted,2025-04-21,4793.65557013,3113.619213394555,7907.2747835245555,ADSK,1
window_252d_recent_weighted,2025-04-22,8218.636704864011,0.0,8218.636704864011,,0
window_252d_recent_weighted,2025-04-23,4333.808894457689,3884.827810406322,8218.636704864011,TMUS,1
window_252d_recent_weighted,2025-04-24,8607.119485904645,0.0,8607.119485904645,,0
window_252d_recent_weighted,2025-04-25,4654.875209088835,3952.24427681581,8607.119485904645,TTWO,1
window_252d_recent_weighted,2025-04-28,4849.499304743802,4152.8446088424225,9002.343913586225,VRSK,1
window_252d_recent_weighted,2025-04-29,5433.994555518042,3983.6338189524254,9417.628374470467,TTWO,1
window_252d_recent_weighted,2025-04-30,9019.264992575225,0.0,9019.264992575225,,0
window_252d_recent_weighted,2025-05-01,5379.081229382754,3640.183763192471,9019.264992575225,TMUS,1
window_252d_recent_weighted,2025-05-02,4757.537925742023,4625.745443152449,9383.283368894472,MNST,1
window_252d_recent_weighted,2025-05-05,4663.472666892862,4257.236157686365,8920.708824579227,VRSK,1
window_252d_recent_weighted,2025-05-06,5011.228593590236,4335.203846757628,9346.432440347864,CTAS,1
window_252d_recent_weighted,2025-05-07,4908.0378869764245,4871.914938047203,9779.952825023627,MNST,1
window_252d_recent_weighted,2025-05-08,4814.865065083777,4477.896266135129,9292.761331218906,CPRT,1
window_252d_recent_weighted,2025-05-09,6071.421891341578,3669.12906649084,9740.550957832418,DASH,1
window_252d_recent_weighted,2025-05-12,5090.044383786687,5017.419480694815,10107.463864481502,CTAS,1
window_252d_recent_weighted,2025-05-13,10609.205812550985,0.0,10609.205812550985,,0
window_252d_recent_weighted,2025-05-14,5898.768837267483,4710.436975283502,10609.205812550985,TTWO,1
window_252d_recent_weighted,2025-05-15,6477.476240258905,4602.77326982043,11080.249510079335,KLAC,1
window_252d_recent_weighted,2025-05-16,5450.973459741705,5168.998723355588,10619.972183097292,MNST,1
window_252d_recent_weighted,2025-05-19,11136.87205543285,0.0,11136.87205543285,,0
window_252d_recent_weighted,2025-05-20,7303.673572845595,3833.1984825872546,11136.87205543285,COST,1
window_252d_recent_weighted,2025-05-21,5483.157783078212,5270.394424095912,10753.552207174123,ROST,1
window_252d_recent_weighted,2025-05-22,5747.825614966455,5532.766034617261,11280.591649583715,MNST,1
window_252d_recent_weighted,2025-05-23,6495.730985263031,5338.137267782412,11833.868253045443,VRSK,1
