ticker,entry_date,exit_date,success_rate,matched_signals,allocated_cash,contracts,entry_option_price,exit_option_price,entry_spot,exit_spot_close,pnl,return_pct,exit_reason
SYK,2025-03-12,2025-03-13,100.0,44,4158.605440444423,4,10.396513601111057,11.436164961222163,363.8399963378906,363.6600036621094,415.8605440444426,10.000000000000005,tp_day1
LH,2025-03-13,2025-03-14,100.0,41,5045.8435658142025,8,6.307304457267754,6.93803490299453,235.64999389648438,239.52999877929688,504.58435658142116,10.000000000000018,tp_day1
CHD,2025-03-14,2025-03-17,100.0,22,5293.5453590284715,16,3.3084658493927948,3.6393124343320746,109.0999984741211,109.31999969482422,529.3545359028476,10.000000000000009,tp_day1
CSGS,2025-03-17,2025-03-18,100.0,5,5709.231044896012,27,2.1145300166281524,1.9030770149653373,61.150001525878906,60.810001373291016,-570.9231044896014,-10.000000000000005,stop
ABT,2025-03-18,2025-03-19,100.0,8,5170.101371676612,13,3.9770010551358554,4.374701160649441,126.30000305175781,127.41999816894531,517.0101371676619,10.000000000000014,tp_day1
CSGS,2025-03-19,2025-03-20,100.0,11,5521.004302893637,27,2.0448164084791247,2.2492980493270376,60.15999984741211,60.290000915527344,552.1004302893643,10.000000000000012,tp_day1
IRMD,2025-03-20,2025-03-21,100.0,37,5882.11410587679,38,1.5479247647044183,1.3931322882339765,52.5,52.33000183105469,-588.211410587679,-10.0,stop
IRMD,2025-03-21,2025-03-24,100.0,39,5602.862517889921,37,1.514287166997276,1.6657158836970036,52.33000183105469,52.86000061035156,560.2862517889916,9.999999999999993,tp_day1
CCEC,2025-03-24,2025-03-25,100.0,19,5921.587915562723,93,0.6367298833938412,0.7004028717332254,19.600000381469727,19.75,592.1587915562732,10.000000000000016,tp_day1
MOS,2025-03-25,2025-03-26,100.0,9,6205.776512783961,47,1.320377981443396,1.4524157795877357,27.18000030517578,27.1200008392334,620.5776512783968,10.000000000000012,tp_day1
IRMD,2025-03-26,2025-03-27,100.0,24,6496.520691885648,46,1.4122871069316627,1.5535158176248292,52.779998779296875,53.380001068115234,649.6520691885653,10.000000000000007,tp_day1
GTX,2025-03-27,2025-03-28,100.0,4,6868.458116909602,229,0.2999326688606813,0.2699394019746132,8.510000228881836,8.180000305175781,-686.8458116909596,-9.999999999999993,stop
IRMD,2025-03-28,2025-03-31,100.0,19,6436.996364775139,50,1.2873992729550279,1.158659345659525,52.40999984741211,52.47999954223633,-643.6996364775132,-9.999999999999988,stop
IRMD,2025-03-31,2025-04-01,100.0,22,6194.748842435465,49,1.264234457639891,1.3906579034038802,52.47999954223633,53.45000076293945,619.4748842435474,10.000000000000014,tp_day1
CHD,2025-04-01,2025-04-02,100.0,20,6282.107162012256,22,2.8555032554601163,2.5699529299141046,109.47000122070312,108.31999969482422,-628.2107162012262,-10.00000000000001,stop
IRMD,2025-04-02,2025-04-03,100.0,59,6178.913190262377,45,1.373091820058306,1.2357826380524755,53.599998474121094,51.36000061035156,-617.8913190262374,-9.999999999999995,stop
CCEC,2025-04-03,2025-04-04,100.0,16,5862.707483771926,87,0.6738744234220605,0.6064869810798544,19.799999237060547,18.229999542236328,-586.2707483771919,-9.99999999999999,stop
PSIX,2025-04-04,2025-04-07,100.0,17,5597.628787488553,20,2.7988143937442764,2.518932954369849,20.299999237060547,19.989999771118164,-559.7628787488557,-10.000000000000005,stop
TMUS,2025-04-07,2025-04-08,100.0,14,4486.384740804381,4,11.215961852010953,10.094365666809857,246.6699981689453,246.3000030517578,-448.6384740804383,-10.000000000000005,stop
CAH,2025-04-08,2025-04-09,100.0,17,4711.602040341085,10,4.711602040341085,4.240441836306977,125.0,130.4499969482422,-471.16020403410766,-9.999999999999982,stop
RSG,2025-04-09,2025-04-10,100.0,27,3931.930665858043,4,9.829826664645108,8.846843998180598,239.25999450683594,240.22999572753906,-393.193066585804,-9.999999999999993,stop
AOS,2025-04-10,2025-04-11,100.0,9,4599.623657359603,19,2.4208545565050543,2.66294001215556,62.869998931884766,64.5,459.9623657359607,10.000000000000007,tp_day1
IRMD,2025-04-11,2025-04-14,100.0,55,4880.36632399949,19,2.5686138547365736,2.3117524692629163,52.290000915527344,53.029998779296875,-488.03663239994967,-10.000000000000012,stop
IRMD,2025-04-14,2025-04-15,100.0,7,4454.995251702275,17,2.6205854421778088,2.358526897960028,53.029998779296875,51.959999084472656,-445.4995251702271,-9.999999999999993,stop
IRMD,2025-04-15,2025-04-16,100.0,12,4445.479458216186,17,2.614987916597756,2.3534891249379806,51.959999084472656,51.959999084472656,-444.54794582161867,-10.000000000000002,stop
IRMD,2025-04-16,2025-04-17,100.0,23,4140.725568634417,16,2.5879534803965107,2.846748828436162,51.959999084472656,51.77000045776367,414.0725568634425,10.00000000000002,tp_day1
IRMD,2025-04-17,2025-04-21,100.0,59,4378.561902154127,17,2.575624648325957,2.3180621834933612,51.77000045776367,50.779998779296875,-437.8561902154129,-10.000000000000005,stop
IRMD,2025-04-21,2025-04-22,100.0,13,4098.121322291372,16,2.5613258264321077,2.8174584090753187,50.779998779296875,52.09000015258789,409.8121322291381,10.000000000000023,tp_day1
TMUS,2025-04-23,2025-04-24,100.0,17,3884.8251129502296,3,12.949417043167431,14.244358747484176,259.3500061035156,262.17999267578125,388.48251129502296,10.0,tp_day1
PSMT,2025-04-24,2025-04-25,100.0,17,4173.198385219682,8,5.216497981524602,4.694848183372143,101.70999908447266,99.9800033569336,-417.31983852196754,-9.999999999999986,stop
RSG,2025-04-25,2025-04-28,100.0,35,4124.018125105362,4,10.310045312763405,11.341049844039746,243.55999755859375,246.11000061035156,412.40181251053673,10.000000000000012,tp_day1
TRVI,2025-04-28,2025-04-29,95.8974358974359,195,4560.753603993357,90,0.5067504004437063,0.4560753603993357,6.590000152587891,6.309999942779541,-456.0753603993353,-9.999999999999993,stop
RSG,2025-04-29,2025-04-30,100.0,27,4164.530754228882,4,10.411326885572205,11.452459574129426,247.6999969482422,250.75,416.4530754228881,9.999999999999998,tp_day1
RSG,2025-04-30,2025-05-01,100.0,18,4239.198599555496,4,10.59799649888874,9.538196848999867,250.75,249.41000366210938,-423.9198599555493,-9.999999999999993,stop
TMUS,2025-05-01,2025-05-02,100.0,22,3640.184122579559,2,18.200920612897793,20.021012674187574,247.0,248.8800048828125,364.0184122579558,9.999999999999998,tp_day1
TRI,2025-05-02,2025-05-05,100.0,8,4285.701685466482,5,8.571403370932963,7.714263033839667,184.50999450683594,185.74000549316406,-428.57016854664835,-10.000000000000005,stop
IRMD,2025-05-05,2025-05-06,100.0,17,4240.211762665029,17,2.49424221333237,2.244817991999133,52.29999923706055,51.02000045776367,-424.0211762665026,-9.999999999999993,stop
