date,cash,position_value,equity,open_tickers,open_count
2025-03-17,5124.730429360808,4875.269570639192,10000.0,HOOD,1
2025-03-18,5023.100389867885,4489.372653068198,9512.473042936082,MSTR,1
2025-03-19,5913.54282310094,4047.867485141963,9961.410308242903,PLTR,1
2025-03-20,5269.68457222752,5096.512484529579,10366.197056757099,PLTR,1
2025-03-21,6093.594712575584,4782.253592634473,10875.848305210056,MSTR,1
2025-03-24,11354.073664473504,0.0,11354.073664473504,,0
2025-03-25,6259.316177067122,5094.757487406382,11354.073664473504,MSTR,1
2025-03-26,5908.796302154402,4935.801613578464,10844.597915732866,MSTR,1
2025-03-27,5908.796302154402,4866.305103532033,10775.101405686435,MSTR,1
2025-03-28,10351.01775437502,0.0,10351.01775437502,,0
2025-03-31,5987.794283454437,4363.223470920582,10351.01775437502,MSTR,1
2025-04-01,6247.818951082481,4539.521150384597,10787.340101467078,MSTR,1
2025-04-02,6268.9168837882735,4972.375332717265,11241.292216505539,TSM,1
2025-04-03,10744.054683233811,0.0,10744.054683233811,,0
2025-04-04,6462.732448352359,4281.3222348814525,10744.054683233811,MSTR,1
2025-04-07,10315.922459745667,0.0,10315.922459745667,,0
2025-04-08,5682.833837979324,4633.088621766343,10315.922459745667,PLTR,1
2025-04-09,6262.981130005213,4516.250191917088,10779.231321922302,PLTR,1
2025-04-10,10327.606302730594,0.0,10327.606302730594,,0
2025-04-11,5224.27101059714,5103.335292133454,10327.606302730594,HOOD,1
2025-04-14,5781.616885830903,5056.322946113036,10837.939831943939,HOOD,1
2025-04-15,11343.572126555242,0.0,11343.572126555242,,0
2025-04-16,11343.572126555242,0.0,11343.572126555242,,0
2025-04-17,6157.243956111343,5186.328170443899,11343.572126555242,MSTR,1
2025-04-21,11862.20494359963,0.0,11862.20494359963,,0
2025-04-22,11862.20494359963,0.0,11862.20494359963,,0
2025-04-23,11862.20494359963,0.0,11862.20494359963,,0
2025-04-24,7382.84677979698,4479.358163802651,11862.20494359963,COIN,1
2025-04-25,6667.95797041581,5642.182789564086,12310.140759979897,PLTR,1
2025-04-28,7282.70999047798,5591.6490484583255,12874.359038936305,MSTR,1
2025-04-29,7654.953041411506,5778.570902370632,13433.523943782138,MSTR,1
2025-04-30,7147.34592316636,5708.320930378715,12855.666853545075,MSTR,1
2025-05-01,13426.498946582946,0.0,13426.498946582946,,0
2025-05-02,7108.948627552564,6317.550319030382,13426.498946582946,SMCI,1
2025-05-05,7315.599499438267,5479.144415241641,12794.743914679908,MSTR,1
2025-05-06,1282.0532501731923,11625.406233778867,12907.45948395206,"HOOD,MSTR",2
2025-05-07,7064.595484882259,6081.694629234597,13146.290114116857,HOOD,1
2025-05-08,13754.459577040318,0.0,13754.459577040318,,0
2025-05-09,8745.348841159057,5009.110735881261,13754.459577040318,MSTR,1
2025-05-12,7347.784251416133,5905.764252036059,13253.548503452192,PLTR,1
2025-05-13,7166.562992862408,6677.56193579339,13844.124928655798,MSTR,1
2025-05-14,8709.282569988063,4467.086165088396,13176.36873507646,MSTR,1
2025-05-15,7177.0538310019765,5552.606287565643,12729.660118567619,TSM,1
2025-05-16,7070.8704890783765,6214.0502582458075,13284.920747324184,PLTR,1
2025-05-19,7620.384896757478,5043.130824742126,12663.515721499603,MSTR,1
2025-05-20,7719.783891396705,4439.418747628687,12159.202639025392,MSTR,1
2025-05-21,7137.83797016198,4577.422794100545,11715.260764262524,MSTR,1
2025-05-22,6508.3689578759495,5664.63408579663,12173.00304367258,HOOD,1
2025-05-23,6119.504816704333,5487.0348183885835,11606.539635092917,PLTR,1
2025-05-27,7340.270720821023,4814.972396110752,12155.243116931775,MSTR,1
2025-05-28,7043.80048803805,4629.94538928265,11673.7458773207,MSTR,1
2025-05-29,7381.672848660328,4755.067567588638,12136.740416248966,MSTR,1
2025-05-30,6928.854666182095,4732.378993308008,11661.233659490103,MSTR,1
2025-06-02,7498.485553414869,4635.986005406035,12134.471558820904,MSTR,1
2025-06-03,7600.351484314282,4997.7186750472265,12598.070159361509,MSTR,1
2025-06-04,6419.540050192116,5678.758241664671,12098.298291856787,HOOD,1
2025-06-05,6463.861042106736,6202.313073916518,12666.174116023254,HOOD,1
2025-06-06,13286.405423414908,0.0,13286.405423414908,,0
2025-06-09,7296.547091301594,5989.858332113314,13286.405423414908,PLTR,1
2025-06-10,7863.274960169086,6022.116296457155,13885.39125662624,PLTR,1
2025-06-11,7587.557304629141,6900.045581642817,14487.602886271958,HOOD,1
2025-06-12,7411.76400061441,6385.834327493267,13797.598328107677,TSM,1
2025-06-13,6609.455410822206,6549.559484536142,13159.014895358348,PLTR,1
