date,cash,position_value,equity,open_tickers,open_count
2025-03-13,5075.16228730041,4924.83771269959,10000.0,STEP,1
2025-03-14,5348.627090985131,5143.856680284828,10492.48377126996,VEON,1
2025-03-17,6142.270280842967,4864.599158455477,11006.869439298443,GSHD,1
2025-03-18,5758.426607081678,5734.902748062313,11493.329355143991,TW,1
2025-03-19,6305.86647981319,5760.953150137033,12066.819629950223,TW,1
2025-03-20,6460.437983595033,6182.476961368895,12642.914944963928,VEON,1
2025-03-21,6917.89885010451,6343.263790996309,13261.162641100818,VEON,1
2025-03-24,6955.133291207581,6940.3557289928685,13895.48902020045,CCEC,1
2025-03-25,7711.135558574375,6878.389034525362,14589.524593099737,TW,1
2025-03-26,7651.932936520719,7625.430560031556,15277.363496552274,CCEC,1
2025-03-27,7711.683896192604,6803.1365443565155,14514.82044054912,TW,1
2025-03-28,7079.519364144335,6754.987421969132,13834.506786113467,TW,1
2025-03-31,7408.778825875576,7101.226702434803,14510.00552831038,KARO,1
2025-04-01,6944.035609008377,6855.847249058523,13799.8828580669,KARO,1
2025-04-02,6677.8186169388355,6436.479516222213,13114.298133161048,TW,1
2025-04-03,6271.005486055884,6199.644695482942,12470.650181538826,CCEC,1
2025-04-04,5973.175485127552,5877.510226862981,11850.685711990533,PSIX,1
2025-04-07,5657.563033887122,5605.371655417112,11262.934689304235,KARO,1
2025-04-08,5359.200138086422,5343.1973856761015,10702.397523762524,KARO,1
2025-04-09,5804.390804755549,5432.326457574585,11236.717262330134,VEON,1
2025-04-10,5899.953466918194,5879.996441169398,11779.949908087592,KARO,1
2025-04-11,5805.781857781397,5386.168406189255,11191.950263970652,TW,1
2025-04-14,6103.4614552002695,5627.105649389307,11730.567104589576,KARO,1
2025-04-15,7482.89135468788,4810.386314840626,12293.277669528507,PODD,1
2025-04-16,6275.149394318637,5537.089643725808,11812.239038044445,TW,1
2025-04-17,6456.734691332564,5909.2133110844625,12365.948002417026,HWKN,1
2025-04-21,6164.194881481886,5610.831789826694,11775.02667130858,PATK,1
2025-04-22,6274.593161161528,6061.516689129722,12336.10985029125,SUPN,1
2025-04-23,6482.96512353825,6459.296395665973,12942.261519204223,TRVI,1
2025-04-24,6856.3203928967105,6731.87076587411,13588.19115877082,TW,1
2025-04-25,7168.533503232077,7092.844732126155,14261.378235358232,KARO,1
2025-04-28,7521.431822048365,7449.230886522483,14970.662708570848,TRVI,1
2025-04-29,7388.839033927165,6836.900585991436,14225.7396199186,TW,1
2025-04-30,7062.197273576692,6479.852287742764,13542.049561319456,KARO,1
2025-05-01,7310.569334972326,6879.465455121408,14190.034790093734,TW,1
2025-05-02,7708.13431155152,7169.847024054357,14877.981335605877,PATK,1
2025-05-05,7284.245269737301,6876.75136346314,14160.99663320044,TW,1
2025-05-06,6978.049162644331,6495.272334209794,13473.321496854125,PATK,1
2025-05-07,6622.962666460579,6200.831596972565,12823.794263433145,TW,1
2025-05-08,6899.429757896058,6544.447665234344,13443.877423130401,MRX,1
2025-05-09,638.8777777569721,12414.864615438184,13053.742393195156,"MRX,VRSK",2
2025-05-12,6179.1529468705485,5984.22451172251,12163.377458593059,MRX,1
2025-05-13,6532.448171559057,6229.351738206253,12761.79990976531,GLBE,1
2025-05-14,9092.965613654753,3045.8991222899303,12138.864735944684,PODD,1
2025-05-15,3285.4104315848654,9127.01212328143,12412.422554866296,"PODD,TW",2
2025-05-16,6627.473656430384,6431.238617224761,13058.712273655145,TW,1
2025-05-19,6382.60724756199,6032.981164370679,12415.58841193267,MRX,1
2025-05-20,5956.178320612638,5856.111974882962,11812.2902954956,MRX,1
2025-05-21,5736.027657914868,5490.651440092438,11226.679098007306,VEON,1
2025-05-22,5517.396568595134,5160.217385402927,10677.613953998061,MRX,1
2025-05-23,5122.531081453774,5039.061134003993,10161.592215457767,MRX,1
2025-05-27,5343.699827380747,5321.798501477421,10665.498328858168,TRI,1
2025-05-28,5637.067076547698,5560.611102458212,11197.67817900591,TRVI,1
2025-05-29,5347.074184271692,5294.542884488398,10641.61706876009,TRVI,1
2025-05-30,5470.876095242849,4641.2866850684,10112.16278031125,TW,1
2025-06-02,4901.216795085425,4746.817316718986,9648.03411180441,TW,1
2025-06-03,4606.551450042925,4566.8009300895865,9173.352380132512,MRX,1
2025-06-04,4369.741631862559,4346.930655260993,8716.672287123552,SRAD,1
2025-06-05,4503.660110878287,3778.3191107191647,8281.979221597452,TW,1
2025-06-06,4662.241180321969,3997.5699523473995,8659.811132669369,KARO,1
2025-06-09,4686.185056868042,4373.383071036067,9059.56812790411,MRX,1
2025-06-10,4445.422055382345,4176.807765418156,8622.229820800501,MRX,1
2025-06-11,5200.9095767153085,3839.001020627009,9039.910597342317,PODD,1
2025-06-12,4480.924394118568,4175.08610116105,8656.010495279617,PODD,1
2025-06-13,4736.248470175289,3502.253414988223,8238.501885163512,PODD,1
2025-06-16,4304.441540260948,4284.285686401387,8588.727226662335,TRVI,1
2025-06-17,4325.871078435965,3834.427579586232,8160.298658022197,TW,1
