ticker,signal_days,success_rate
EFSC,12,91.66666666666666
PRDO,12,91.66666666666666
MAZE,121,90.9090909090909
DNTH,200,90.0
SNDK,80,90.0
SION,117,89.74358974358975
NNNN,129,88.37209302325581
RAPP,188,88.29787234042553
PRAX,184,88.04347826086956
ORKA,133,87.96992481203007
ERAS,224,87.94642857142857
PVLA,196,87.75510204081633
WULF,302,87.74834437086093
UMBF,16,87.5
TRVI,205,87.3170731707317
ZBIO,178,87.07865168539325
PSIX,249,86.74698795180723
MBX,187,86.63101604278076
ONDS,331,86.10271903323263
SYRE,198,85.85858585858585
CRVS,205,85.85365853658537
GRAL,176,85.79545454545455
TYRA,183,85.79234972677595
CORZ,196,85.71428571428571
ANDE,14,85.71428571428571
COLM,14,85.71428571428571
NRIX,175,85.14285714285714
EZPW,20,85.0
AVBP,146,84.93150684931507
ELVN,190,84.73684210526315
AMAL,13,84.61538461538461
ENSG,13,84.61538461538461
NN,174,84.48275862068965
CELC,134,84.32835820895522
NTRA,70,84.28571428571429
ARQT,184,84.23913043478261
AAOI,252,84.12698412698413
TWFG,75,84.0
CCEC,25,84.0
PNTG,43,83.72093023255815
DAVE,220,83.63636363636363
INBX,115,83.47826086956522
HYMC,223,83.40807174887892
PLPC,42,83.33333333333334
OSBC,18,83.33333333333334
INDB,12,83.33333333333334
PATK,12,83.33333333333334
ZION,12,83.33333333333334
AMLX,178,83.14606741573034
BCAX,142,83.09859154929578
DMRA,266,83.0827067669173
LASR,112,83.03571428571429
RKLB,188,82.97872340425532
RCAT,276,82.97101449275362
SEZL,244,82.78688524590164
HUT,267,82.77153558052434
SMMT,195,82.56410256410255
KOD,263,82.50950570342205
NNE,251,82.47011952191235
PHAR,159,82.38993710691824
WSFS,17,82.35294117647058
NKTR,260,82.3076923076923
SRRK,186,82.25806451612904
ASTS,242,82.23140495867769
ALMS,163,82.20858895705521
GCT,189,82.01058201058201
NBIS,150,82.0
ALM,143,81.81818181818183
ICUI,55,81.81818181818183
CAKE,11,81.81818181818183
CNXN,11,81.81818181818183
DCOM,11,81.81818181818183
ONB,11,81.81818181818183
LQDA,120,81.66666666666667
CIFR,289,81.66089965397923
FLEX,49,81.63265306122449
SMTC,125,81.6
TRUP,125,81.6
TNGX,228,81.57894736842105
IRON,103,81.55339805825243
RGC,271,81.54981549815497
RUN,211,81.51658767772511
NAMS,146,81.5068493150685
WGS,232,81.46551724137932
ALHC,113,81.41592920353983
DFTX,199,81.4070351758794
VSEC,43,81.3953488372093
KNSA,59,81.35593220338984
IREN,284,81.33802816901408
MRX,32,81.25
APA,16,81.25
WINA,16,81.25
TLN,111,81.08108108108108
STX,37,81.08108108108108
LUNR,253,81.02766798418972
LITE,121,80.99173553719008
AXTI,226,80.97345132743364
IBKR,42,80.95238095238095
CGON,131,80.91603053435115
TSAT,183,80.87431693989072
PHVS,162,80.8641975308642
PRCT,120,80.83333333333333
VISN,181,80.66298342541437
OLMA,217,80.64516129032258
APGE,155,80.64516129032258
KYMR,134,80.59701492537313
