date,cash,position_value,equity,open_tickers,open_count
2025-03-17,5216.974200219958,4783.025799780042,10000.0,GEHC,1
2025-03-18,4930.124426940977,4591.5729930810185,9521.697420021996,ROP,1
2025-03-19,7283.248485272305,2697.6062340577932,9980.854719330098,ISRG,1
2025-03-20,5743.514004279366,4507.10133845651,10250.615342735877,ROP,1
2025-03-21,4980.124047578929,4819.781161311297,9799.905208890226,BKR,1
2025-03-24,6278.8750665487305,4003.008258472627,10281.883325021357,VRTX,1
2025-03-25,4997.782315351394,4883.800183822702,9881.582499174096,GEHC,1
2025-03-26,4881.91877008207,4511.283710709754,9393.202480791824,CHTR,1
2025-03-27,5049.482777521966,4794.848074340834,9844.3308518628,INSM,1
2025-03-28,4991.142915049013,4373.7031293797045,9364.846044428718,FANG,1
2025-03-31,4754.267953119751,4173.2077783709965,8927.475731490747,COST,1
2025-04-01,5158.483553039353,4186.312956288494,9344.796509327847,VRSK,1
2025-04-02,5067.294983393406,3858.8702303055916,8926.165213698998,TMUS,1
2025-04-03,5173.411238802431,4138.640997927125,9312.052236729556,VRTX,1
2025-04-04,4616.865902055391,4281.3222348814525,8898.188136936844,MSTR,1
2025-04-07,5105.268493869827,3364.7874195788727,8470.0559134487,TMUS,1
2025-04-08,4558.998206373245,3574.5789651175683,8133.577171490813,COST,1
2025-04-09,4702.379758956068,3788.655309046503,8491.035068002571,VRSK,1
2025-04-10,4099.056703706843,4013.1128333910788,8112.169537097921,EA,1
2025-04-11,4572.809656971492,3940.6711634655394,8513.480820437031,VRSK,1
2025-04-14,4688.476639909148,4219.071296874439,8907.547936783587,VRTX,1
2025-04-15,4793.7567801350515,4535.69828633598,9329.455066471031,TTWO,1
2025-04-16,4438.905511768184,4436.9797260692485,8875.885237837432,INSM,1
2025-04-17,5024.746030691707,4294.837179752651,9319.583210444358,INSM,1
2025-04-21,4552.725179159427,4337.374313309666,8890.099492469093,CSX,1
2025-04-22,5144.386140558057,4179.450783242002,9323.83692380006,ISRG,1
2025-04-23,5856.959846832456,3884.822155291805,9741.78200212426,TMUS,1
2025-04-24,7550.512693273586,2579.751524379857,10130.264217653443,LIN,1
2025-04-25,3598.268416457776,6701.389118618195,10299.65753507597,"LIN,TTWO",2
2025-04-28,6460.3963774863005,4152.841887441418,10613.238264927719,VRSK,1
2025-04-29,6801.862783506605,4226.659670165256,11028.522453671862,VRSK,1
2025-04-30,6250.738515596922,5200.449905091466,11451.188420688388,ROST,1
2025-05-01,6510.959671622303,5460.273739575231,11971.233411197534,TMUS,1
2025-05-02,6701.347730114363,5815.9130550406935,12517.260785155057,NFLX,1
2025-05-05,6614.142462924929,5321.527016726059,11935.669479650987,VRSK,1
2025-05-06,6444.093930798288,6023.728250525304,12467.822181323592,VRSK,1
2025-05-07,6591.068480127083,6479.126526249041,13070.195006376123,GEHC,1
2025-05-08,7001.263259798335,6716.844399202692,13718.107659001027,CPRT,1
2025-05-09,8274.576988103228,6115.215110818067,14389.792098921294,DASH,1
2025-05-12,8801.567654992105,6199.745955010996,15001.3136100031,ROP,1
2025-05-13,8662.419784669744,6958.868420834457,15621.288205504201,DASH,1
2025-05-14,8260.46325964114,8056.711787946509,16317.175047587647,ISRG,1
2025-05-15,7949.588295640349,7561.915573152648,15511.503868792997,INSM,1
2025-05-16,9139.846471152901,7127.848954955363,16267.695426108265,DASH,1
2025-05-19,8050.313729732024,7504.596800880704,15554.910530612728,ORLY,1
2025-05-20,8638.9891885689,7666.3810221319,16305.3702107008,COST,1
2025-05-21,7835.841255621067,7702.890852866542,15538.73210848761,ROST,1
2025-05-22,8347.180742252625,7961.840451521639,16309.021193774264,ADSK,1
2025-05-23,8395.31918102576,7117.517967596341,15512.8371486221,VRSK,1
2025-05-27,8446.576588783006,7778.01235659873,16224.588945381736,TRI,1
2025-05-28,10057.472097117636,6944.918083923974,17002.39018104161,MSTR,1
2025-05-29,8933.914453671861,8762.967535762147,17696.88198943401,TMUS,1
2025-05-30,13436.276054916721,5136.902688093504,18573.178743010227,AXON,1
2025-06-02,9810.507890794579,9276.361121024998,19086.869011819577,TMUS,1
2025-06-03,10022.733273697653,9991.771850224424,20014.505123922077,CTAS,1
2025-06-04,10821.648787537555,10192.033521406966,21013.68230894452,AXON,1
2025-06-05,11772.452067220813,10260.433593864404,22032.885661085216,AXON,1
2025-06-06,11102.826454876831,9904.015846821945,21006.842301698776,VRSK,1
2025-06-09,10117.548935670777,9898.891781345803,20016.44071701658,TRI,1
2025-06-10,9847.097710992135,9179.453827889867,19026.551538882002,TMUS,1
2025-06-11,9074.457821946642,9034.148334146372,18108.606156093014,VRSK,1
2025-06-12,10017.33906279355,8994.681926714105,19012.020989507655,FANG,1
