ticker,signal_days,success_rate
STX,37,81.08108108108108
PLTR,113,80.53097345132744
MPWR,57,78.94736842105263
MSTR,207,78.26086956521739
FTNT,32,78.125
WDC,62,77.41935483870968
NVDA,78,76.92307692307693
APP,139,75.53956834532374
INSM,66,74.24242424242425
WBD,73,73.97260273972603
KLAC,33,72.72727272727273
TSLA,117,72.64957264957265
CRWD,66,71.21212121212122
MU,89,70.78651685393258
LRCX,43,69.76744186046511
AMD,93,68.81720430107528
MRVL,89,68.53932584269663
CEG,73,68.4931506849315
ISRG,19,68.42105263157895
MCHP,19,68.42105263157895
TTWO,25,68.0
ZS,61,67.21311475409836
META,24,66.66666666666666
AAPL,12,66.66666666666666
AVGO,50,66.0
ASML,29,65.51724137931035
INTC,83,65.06024096385542
ODFL,31,64.51612903225806
MELI,50,64.0
IDXX,25,64.0
MAR,11,63.63636363636363
SHOP,91,62.637362637362635
CDNS,37,62.16216216216216
WDAY,37,62.16216216216216
AMAT,42,61.904761904761905
NXPI,21,61.904761904761905
AXON,55,61.81818181818181
TEAM,78,61.53846153846154
AMZN,26,61.53846153846154
VRSK,13,61.53846153846154
SNPS,51,60.78431372549019
PANW,50,60.0
GOOG,15,60.0
GOOGL,15,60.0
DASH,59,59.32203389830508
TRI,12,58.333333333333336
ALNY,43,58.139534883720934
CSGP,31,58.06451612903226
GEHC,19,57.89473684210527
PYPL,28,57.14285714285714
DDOG,67,56.71641791044776
REGN,16,56.25
ADSK,33,54.54545454545454
ABNB,37,54.054054054054056
QCOM,13,53.84615384615385
NFLX,30,53.333333333333336
BKNG,15,53.333333333333336
INTU,27,51.85185185185185
ADBE,31,51.61290322580645
DXCM,35,51.42857142857142
ADI,12,50.0
CHTR,43,48.837209302325576
VRTX,17,47.05882352941176
