ticker,signal_days,success_rate
SNDK,80,90.0
WSM,34,85.29411764705883
GEV,80,85.0
CF,13,84.61538461538461
MS,12,83.33333333333334
FIX,70,82.85714285714286
ALB,54,81.48148148148148
APA,16,81.25
CRH,16,81.25
GL,16,81.25
IVZ,16,81.25
STX,37,81.08108108108108
IBKR,42,80.95238095238095
HCA,21,80.95238095238095
PLTR,113,80.53097345132744
MPWR,57,78.94736842105263
PHM,19,78.94736842105263
C,14,78.57142857142857
HOOD,144,78.47222222222221
CIEN,74,78.37837837837837
MSTR,207,78.26086956521739
GLW,23,78.26086956521739
VST,101,78.21782178217822
FTNT,32,78.125
TPL,50,78.0
WDC,62,77.41935483870968
SMCI,188,77.12765957446808
NVDA,78,76.92307692307693
DD,13,76.92307692307693
CVNA,151,76.82119205298014
EME,43,76.74418604651163
PWR,43,76.74418604651163
TKO,17,76.47058823529412
TPR,17,76.47058823529412
RL,21,76.19047619047619
APP,139,75.53956834532374
COIN,196,75.0
FCX,36,75.0
INCY,28,75.0
RMD,20,75.0
CAT,16,75.0
EW,12,75.0
GS,12,75.0
STT,12,75.0
VMC,12,75.0
UAL,75,74.66666666666667
INSM,66,74.24242424242425
IT,31,74.19354838709677
RCL,31,74.19354838709677
WBD,73,73.97260273972603
PAYC,30,73.33333333333333
BBY,15,73.33333333333333
PCG,15,73.33333333333333
STLD,15,73.33333333333333
KLAC,33,72.72727272727273
FDX,11,72.72727272727273
TSLA,117,72.64957264957265
ON,83,72.28915662650603
PODD,50,72.0
MRNA,138,71.73913043478261
NVR,14,71.42857142857143
CRWD,66,71.21212121212122
CRM,24,70.83333333333334
LII,24,70.83333333333334
MU,89,70.78651685393258
ANET,82,70.73170731707317
BSX,17,70.58823529411765
BLDR,74,70.27027027027027
DAL,37,70.27027027027027
GM,20,70.0
LRCX,43,69.76744186046511
TRMB,23,69.56521739130434
TER,59,69.49152542372882
AMD,93,68.81720430107528
MGM,48,68.75
NUE,16,68.75
MRVL,89,68.53932584269663
CEG,73,68.4931506849315
ISRG,19,68.42105263157895
MCHP,19,68.42105263157895
EQT,22,68.18181818181817
HSIC,22,68.18181818181817
