variant,ticker,entry_date,exit_date,success_rate,matched_signals,allocated_cash,contracts,entry_option_price,exit_option_price,entry_spot,exit_spot_close,pnl,return_pct,exit_reason
pca_defactored,CTAS,2025-03-13,2025-03-14,82.35294117647058,17,4715.893866204329,9,5.239882073560366,5.763870280916404,190.5800018310547,192.83999633789062,471.5893866204333,10.000000000000007,tp_day1
pca_defactored,MNST,2025-03-14,2025-03-17,86.20689655172413,116,5142.468081592576,25,2.0569872326370304,2.2626859559007335,55.09000015258789,56.209999084472656,514.2468081592579,10.000000000000005,tp_day1
pca_defactored,PANW,2025-03-17,2025-03-18,92.72727272727272,55,5471.082414529804,6,9.118470690883006,8.206623621794705,185.0,183.10000610351562,-547.108241452981,-10.000000000000012,stop
pca_defactored,INSM,2025-03-18,2025-03-19,86.11111111111111,36,5026.259084931725,13,3.8663531422551727,4.25298845648069,76.98999786376953,78.94000244140625,502.6259084931726,10.000000000000002,tp_day1
pca_defactored,ISRG,2025-03-19,2025-03-20,95.65217391304348,46,5395.2124681155865,2,26.976062340577933,29.673668574635727,492.05999755859375,491.80999755859375,539.5212468115587,10.000000000000002,tp_day1
pca_defactored,GOOGL,2025-03-20,2025-03-21,83.33333333333334,18,5210.910575044397,8,6.513638218805496,7.165002040686046,162.8000030517578,163.99000549316406,521.09105750444,10.000000000000005,tp_day1
pca_defactored,BKR,2025-03-21,2025-03-24,100.0,10,5890.82875181637,33,1.7850996217625361,1.96360958393879,44.11000061035156,44.599998474121094,589.0828751816371,10.000000000000002,tp_day1
pca_defactored,WDC,2025-03-24,2025-03-25,87.5,56,6294.980151389243,23,2.736947891908366,2.4632531027175295,44.310001373291016,43.38999938964844,-629.4980151389245,-10.000000000000005,stop
pca_defactored,APP,2025-03-25,2025-03-26,90.9090909090909,11,5394.788403164292,1,53.947884031642914,48.55309562847862,346.2900085449219,327.6199951171875,-539.4788403164293,-10.000000000000004,stop
pca_defactored,VRTX,2025-03-27,2025-03-28,85.96491228070175,57,5458.703569790639,4,13.646758924476599,12.28208303202894,502.54998779296875,492.69000244140625,-545.8703569790632,-9.999999999999986,stop
pca_defactored,FANG,2025-03-28,2025-03-31,92.3076923076923,13,5102.662499310519,7,7.289517856157883,6.560566070542095,157.5399932861328,159.8800048828125,-510.2662499310527,-10.000000000000016,stop
pca_defactored,EA,2025-03-31,2025-04-01,86.04651162790698,43,4936.010125355591,13,3.7969308656581475,4.176623952223963,144.52000427246094,145.6699981689453,493.6010125355606,10.00000000000003,tp_day1
pca_defactored,COST,2025-04-01,2025-04-02,92.5925925925926,54,4248.405412592543,1,42.48405412592543,46.73245953851798,954.4000244140625,965.0800170898438,424.8405412592547,10.000000000000009,tp_day1
pca_defactored,ADI,2025-04-02,2025-04-03,90.9090909090909,11,5084.216143230325,6,8.473693572050541,7.6263242148454875,199.58999633789062,180.8800048828125,-508.4216143230324,-9.999999999999998,stop
pca_defactored,VRTX,2025-04-03,2025-04-04,85.96491228070175,57,4138.640997927125,3,13.795469993090416,12.415922993781374,484.010009765625,474.6199951171875,-413.86409979271275,-10.000000000000005,stop
pca_defactored,META,2025-04-08,2025-04-09,90.9090909090909,11,3408.440566752036,1,34.08440566752036,37.4928462342724,510.45001220703125,585.77001953125,340.8440566752038,10.000000000000005,tp_day1
pca_defactored,COST,2025-04-09,2025-04-10,90.9090909090909,33,4633.620044018191,1,46.33620044018191,41.702580396163725,965.1900024414062,964.3099975585938,-463.3620044018189,-9.999999999999996,stop
pca_defactored,ISRG,2025-04-11,2025-04-14,90.0,20,4307.7788632679685,1,43.077788632679685,47.385567495947654,493.6000061035156,490.1300048828125,430.77788632679676,9.999999999999998,tp_day1
pca_defactored,VRTX,2025-04-14,2025-04-15,90.17857142857143,112,4219.071296874439,3,14.063570989581462,15.46992808853961,495.8299865722656,500.489990234375,421.90712968744447,10.000000000000012,tp_day1
