variant,date,cash,position_value,equity,open_tickers,open_count
volume_adjusted,2025-03-13,5497.242208266732,4502.757791733268,10000.0,VRSK,1
volume_adjusted,2025-03-14,7785.576733962938,2664.6990452103887,10450.275779173327,ISRG,1
volume_adjusted,2025-03-17,5498.89277253492,5217.852911159445,10716.745683694366,GEHC,1
volume_adjusted,2025-03-18,5697.709091667726,4497.251300910695,10194.960392578421,VRSK,1
volume_adjusted,2025-03-19,7947.079288611698,2697.6062340577932,10644.685522669492,ISRG,1
volume_adjusted,2025-03-20,6132.936463570374,4781.509682504896,10914.44614607527,DASH,1
volume_adjusted,2025-03-21,5259.506274713425,5176.7889031113555,10436.29517782478,BKR,1
volume_adjusted,2025-03-24,5821.3896618076615,5132.584406328255,10953.974068135916,DASH,1
volume_adjusted,2025-03-25,5917.449425343472,5549.78308342527,11467.232508768742,GEHC,1
volume_adjusted,2025-03-26,6400.970489716462,4511.283710709754,10912.254200426216,CHTR,1
volume_adjusted,2025-03-27,5830.865562642384,5532.5170088548075,11363.382571497192,INSM,1
volume_adjusted,2025-03-28,5707.468371301194,5102.662499310519,10810.130870611712,FANG,1
volume_adjusted,2025-03-31,5343.053697309326,4956.810923371333,10299.864620680659,GEHC,1
volume_adjusted,2025-04-01,4920.147400420396,4884.036127923131,9804.183528343527,VRSK,1
volume_adjusted,2025-04-02,5175.757891205179,4140.022024346036,9315.779915551215,VRSK,1
volume_adjusted,2025-04-03,5591.141120058694,4138.640997927125,9729.782117985818,VRTX,1
volume_adjusted,2025-04-04,4916.494656551863,4399.423361641243,9315.918018193106,INSM,1
volume_adjusted,2025-04-07,5511.193340914658,3364.7823411143227,8875.97568202898,TMUS,1
volume_adjusted,2025-04-08,4964.918995928146,3574.5784519894014,8539.497447917547,COST,1
volume_adjusted,2025-04-09,5417.053780500975,3479.9015126155123,8896.955293116487,TMUS,1
volume_adjusted,2025-04-10,4817.885870631853,4427.059573746186,9244.94544437804,INSM,1
volume_adjusted,2025-04-11,5746.973064524753,3940.6783372279065,9687.651401752659,VRSK,1
volume_adjusted,2025-04-14,5862.6479386010105,4219.071296874439,10081.71923547545,VRTX,1
volume_adjusted,2025-04-15,5967.928078826914,4535.69828633598,10503.626365162894,TTWO,1
volume_adjusted,2025-04-16,5169.3788378531235,4880.677698676173,10050.056536529297,INSM,1
volume_adjusted,2025-04-17,5288.8788644770075,5249.245441919907,10538.124306396914,INSM,1
volume_adjusted,2025-04-21,5148.716549889748,4864.4832123151755,10013.199762204924,INTC,1
volume_adjusted,2025-04-22,6320.197300194439,4179.450783242002,10499.648083436441,ISRG,1
volume_adjusted,2025-04-23,5737.835151013665,5179.758010746977,10917.593161760642,TMUS,1
volume_adjusted,2025-04-24,6276.0640187878125,5159.504944047527,11435.56896283534,LIN,1
volume_adjusted,2025-04-25,535.4375203445379,11238.917887896785,11774.355408241323,"INSM,LIN",2
volume_adjusted,2025-04-28,6647.998638252027,5537.131516485706,12185.130154737733,VRSK,1
volume_adjusted,2025-04-29,7103.286796041024,5635.556510345281,12738.843306386305,VRSK,1
volume_adjusted,2025-04-30,6801.836576056501,6500.562381364332,13302.398957420834,ROST,1
volume_adjusted,2025-05-01,8492.183558419438,5460.271637137827,13952.455195557264,TMUS,1
volume_adjusted,2025-05-02,7955.580172350269,6542.90218692078,14498.482359271049,NFLX,1
volume_adjusted,2025-05-05,7458.336164019506,6385.855976559466,13844.192140578973,VRSK,1
volume_adjusted,2025-05-06,7455.06634762982,7027.7113906051,14482.77773823492,VRSK,1
volume_adjusted,2025-05-07,7709.638485999067,7475.910391296364,15185.54887729543,GEHC,1
volume_adjusted,2025-05-08,8010.708060955227,7922.431855469842,15933.139916425069,CPRT,1
volume_adjusted,2025-05-09,9387.124968990373,7338.25813298168,16725.383101972053,DASH,1
volume_adjusted,2025-05-12,9709.494880549424,7749.714034720796,17459.20891527022,ROP,1
volume_adjusted,2025-05-13,9883.53821374095,8350.642105001349,18234.1803187423,DASH,1
volume_adjusted,2025-05-14,11012.532741295927,8056.711787946509,19069.244529242435,ISRG,1
volume_adjusted,2025-05-15,10017.501690487865,8246.071659959918,18263.573350447783,TTWO,1
volume_adjusted,2025-05-16,8885.547438505353,8553.418745946437,17438.96618445179,DASH,1
volume_adjusted,2025-05-19,9459.825540267662,7123.79876958948,16583.624309857143,TTWO,1
volume_adjusted,2025-05-20,9629.622974075006,7666.381212741085,17296.00418681609,COST,1
volume_adjusted,2025-05-21,8421.05990462983,8108.3061609121505,16529.36606554198,ROST,1
volume_adjusted,2025-05-22,8949.565293646136,8390.631387987063,17340.1966816332,INSM,1
volume_adjusted,2025-05-23,9282.33665846846,8896.923161963447,18179.259820431907,VRSK,1
volume_adjusted,2025-05-27,9653.453425048345,9415.498711579909,19068.952136628253,TRI,1
volume_adjusted,2025-05-28,10750.611229220947,9259.8907785653,20010.502007786246,MSTR,1
volume_adjusted,2025-05-29,11005.139614467176,9931.351471175602,20936.491085642778,TMUS,1
volume_adjusted,2025-05-30,11655.820856573331,10273.805376187009,21929.62623276034,AXON,1
volume_adjusted,2025-06-02,11825.382531505848,11131.624238873193,22957.00677037904,TMUS,1
volume_adjusted,2025-06-03,12080.037309881322,11990.131884385039,24070.16919426636,CTAS,1
volume_adjusted,2025-06-04,15077.1488612979,10192.033521406966,25269.182382704865,AXON,1
volume_adjusted,2025-06-05,16027.95214098116,10260.433593864404,26288.385734845564,AXON,1
volume_adjusted,2025-06-06,12882.308281223766,12380.034094235358,25262.342375459124,VRSK,1
volume_adjusted,2025-06-09,12403.885821394659,11620.453144640927,24024.338966035586,TRI,1
volume_adjusted,2025-06-10,11846.948586293314,11015.34506527818,22862.293651571494,TMUS,1
volume_adjusted,2025-06-11,10919.75453405526,10841.004610988417,21760.759145043678,VRSK,1
volume_adjusted,2025-06-12,11733.779736548373,11111.079869594147,22844.85960614252,FANG,1
volume_adjusted,2025-06-13,13640.318854875144,10315.64873822679,23955.967593101934,AXON,1
volume_adjusted,2025-06-16,12734.129629153464,12253.402837771147,24987.53246692461,INSM,1
volume_adjusted,2025-06-17,13431.228144675002,12781.644606026726,26212.87275070173,AXON,1
volume_adjusted,2025-06-18,12596.955807350081,12337.752482748976,24934.708290099057,GEHC,1
volume_adjusted,2025-06-20,13477.451849177009,10223.48119264715,23700.93304182416,AXON,1
volume_adjusted,2025-06-23,12750.217479915138,9928.367442644305,22678.584922559443,AXON,1
volume_adjusted,2025-06-24,11255.254575344487,10430.493602950526,21685.748178295013,VRSK,1
volume_adjusted,2025-06-25,10356.289075826735,10286.409742173226,20642.69881799996,CSX,1
volume_adjusted,2025-06-26,11318.161165864969,10353.178626352312,21671.33979221728,DASH,1
volume_adjusted,2025-06-27,10777.969979447249,9858.0519501348,20636.02192958205,AXON,1
volume_adjusted,2025-06-30,12192.880534781887,9428.946589813646,21621.827124595533,AXON,1
volume_adjusted,2025-07-01,10439.343856508765,10239.588609105404,20678.93246561417,BKR,1
volume_adjusted,2025-07-02,11309.254623678624,10393.636702846086,21702.89132652471,DASH,1
volume_adjusted,2025-07-03,11761.019215928914,10981.235780880404,22742.25499680932,VRSK,1
volume_adjusted,2025-07-07,13640.163462313983,10200.215112583377,23840.37857489736,AXON,1
volume_adjusted,2025-07-08,11453.011389238867,11367.345674400154,22820.35706363902,ORLY,1
volume_adjusted,2025-07-09,11724.444380497678,9959.17811570133,21683.62249619901,DASH,1
volume_adjusted,2025-07-10,10873.125041844936,9814.57964278394,20687.704684628876,CTAS,1
volume_adjusted,2025-07-11,825.7278981171039,19777.541715146683,20603.269613263787,"CTAS,ORLY",2
volume_adjusted,2025-07-14,14033.819256453351,9130.812088965895,23164.631345419246,AXON,1
volume_adjusted,2025-07-15,12043.726783363936,12033.9857709519,24077.712554315836,INSM,1
volume_adjusted,2025-07-16,12992.235960006445,12288.87517140458,25281.111131411024,TRI,1
volume_adjusted,2025-07-17,13446.864825701014,13063.133822850468,26509.998648551482,FTNT,1
volume_adjusted,2025-07-18,14809.54845322875,13006.763577607779,27816.31203083653,DASH,1
volume_adjusted,2025-07-21,14644.781406740061,14472.206981857249,29116.98838859731,ORLY,1
volume_adjusted,2025-07-22,15319.474600113192,15244.734486669842,30564.209086783034,ORLY,1
volume_adjusted,2025-07-23,14896.884839222834,14142.850798893216,29039.73563811605,BKNG,1
volume_adjusted,2025-07-24,14157.6783238983,13467.77223432843,27625.45055822673,DASH,1
volume_adjusted,2025-07-25,15363.34101292729,13608.886768732284,28972.227781659574,DASH,1
volume_adjusted,2025-07-28,14062.84118193521,13548.497922851138,27611.339104786348,TTWO,1
volume_adjusted,2025-07-29,13348.100977547425,12908.388334953806,26256.48931250123,COST,1
volume_adjusted,2025-07-30,16189.314273131858,8776.336205873995,24965.650479005853,AXON,1
volume_adjusted,2025-07-31,13059.699396990303,12783.584702602953,25843.284099593257,DASH,1
volume_adjusted,2025-08-01,12447.380119279525,12117.545510053435,24564.92562933296,ORLY,1
volume_adjusted,2025-08-04,13322.510470422558,12454.169709915745,25776.680180338302,COST,1
volume_adjusted,2025-08-05,12349.083353344839,12182.17985600189,24531.26320934673,ORLY,1
volume_adjusted,2025-08-06,13720.986838178555,12028.494356768368,25749.481194946922,DASH,1
volume_adjusted,2025-08-07,13663.07439246324,13289.256238160524,26952.330630623765,PLTR,1
volume_adjusted,2025-08-08,15745.091166802162,12536.165087637655,28281.256254439817,KLAC,1
volume_adjusted,2025-08-11,15690.214463854238,13844.658299349347,29534.872763203584,LIN,1
volume_adjusted,2025-08-12,15777.567966912988,15141.770626225532,30919.33859313852,LRCX,1
volume_adjusted,2025-08-13,16610.645085410782,15822.870570350295,32433.515655761075,TRI,1
volume_adjusted,2025-08-14,20439.705274819702,13576.097437976408,34015.80271279611,KLAC,1
volume_adjusted,2025-08-15,16654.341269888377,16003.851699110093,32658.192968998468,DASH,1
volume_adjusted,2025-08-18,17817.315732243344,16441.262406666134,34258.57813890948,KLAC,1
volume_adjusted,2025-08-19,1749.5101289703562,31716.659901284038,33466.17003025439,"KLAC,VRSK",2
volume_adjusted,2025-08-20,17231.95656918876,16989.275889381406,34221.232458570164,AMZN,1
volume_adjusted,2025-08-21,1753.867586484992,32319.025083056207,34072.8926695412,"AMZN,BKNG",2
volume_adjusted,2025-08-22,22842.53679996798,15474.89594027978,38317.43274024776,BKNG,1
volume_adjusted,2025-08-25,20281.179346007728,19583.74298826801,39864.92233427574,TTWO,1
