variant,date,cash,position_value,equity,open_tickers,open_count
window_252d_recent_weighted,2025-03-17,5216.963885207447,4783.036114792553,10000.0,GEHC,1
window_252d_recent_weighted,2025-03-18,5024.451147398534,4497.24524112221,9521.696388520744,VRSK,1
window_252d_recent_weighted,2025-03-19,5014.30930403705,4957.111608595916,9971.420912632966,GEHC,1
window_252d_recent_weighted,2025-03-20,4968.609915290383,4507.099836482992,9475.709751773375,ROP,1
window_252d_recent_weighted,2025-03-21,4562.2505723979875,4462.749195727088,9024.999768125075,BKR,1
window_252d_recent_weighted,2025-03-24,5468.266429225157,4003.008258472627,9471.274687697784,VRTX,1
window_252d_recent_weighted,2025-03-25,4631.146993211427,4439.826868639095,9070.973861850522,GEHC,1
window_252d_recent_weighted,2025-03-26,8626.991174986611,0.0,8626.991174986611,,0
window_252d_recent_weighted,2025-03-27,4569.812035159753,4057.179139826859,8626.991174986611,INSM,1
window_252d_recent_weighted,2025-03-28,4576.51857747591,3644.754683528017,8221.273261003927,FANG,1
window_252d_recent_weighted,2025-03-31,5394.395184042079,2462.402608609046,7856.797792651125,INTU,1
window_252d_recent_weighted,2025-04-01,4614.436886593894,3488.6011669181357,8103.038053512029,VRSK,1
window_252d_recent_weighted,2025-04-02,3895.308902848793,3858.869033971423,7754.177936820216,TMUS,1
window_252d_recent_weighted,2025-04-03,5380.970841599275,2759.0939986180833,8140.064840217359,VRTX,1
window_252d_recent_weighted,2025-04-04,7864.15544035555,0.0,7864.15544035555,,0
window_252d_recent_weighted,2025-04-07,4499.366777064555,3364.788663290995,7864.15544035555,TMUS,1
window_252d_recent_weighted,2025-04-08,3953.0976089088826,3574.5789651175683,7527.676574026451,COST,1
window_252d_recent_weighted,2025-04-09,4152.648776540774,3732.485693997435,7885.134470538209,BKR,1
window_252d_recent_weighted,2025-04-10,4072.0720887339817,3439.813812404483,7511.885901138465,EA,1
window_252d_recent_weighted,2025-04-11,5228.749156065632,2627.118126313281,7855.867282378913,VRSK,1
window_252d_recent_weighted,2025-04-14,4213.9960512772195,3904.583043733021,8118.57909501024,CSGP,1
window_252d_recent_weighted,2025-04-15,5107.263684631557,3401.7737147519847,8509.037399383542,TTWO,1
window_252d_recent_weighted,2025-04-16,5423.559235112118,2745.300792796226,8168.860027908344,WDAY,1
window_252d_recent_weighted,2025-04-17,4782.890235190013,3111.439713438708,7894.3299486287215,VRTX,1
window_252d_recent_weighted,2025-04-21,4469.566763890296,3113.619213394555,7583.185977284851,ADSK,1
window_252d_recent_weighted,2025-04-22,7894.547898624307,0.0,7894.547898624307,,0
window_252d_recent_weighted,2025-04-23,4009.7254515749673,3884.8224470493396,7894.547898624307,TMUS,1
window_252d_recent_weighted,2025-04-24,8283.03014332924,0.0,8283.03014332924,,0
window_252d_recent_weighted,2025-04-25,4330.785866513431,3952.24427681581,8283.03014332924,TTWO,1
window_252d_recent_weighted,2025-04-28,4525.410950566906,4152.843620443915,8678.25457101082,VRSK,1
window_252d_recent_weighted,2025-04-29,5109.905114102787,3983.6338189524254,9093.538933055212,TTWO,1
window_252d_recent_weighted,2025-04-30,8695.17555115997,0.0,8695.17555115997,,0
window_252d_recent_weighted,2025-05-01,5054.992434440643,3640.1831167193263,8695.17555115997,TMUS,1
window_252d_recent_weighted,2025-05-02,4690.4342776323665,4368.759585199536,9059.193862831902,MNST,1
window_252d_recent_weighted,2025-05-05,4365.085177290074,4257.232727021875,8622.317904311949,VRSK,1
window_252d_recent_weighted,2025-05-06,4712.827153059747,4335.21402395439,9048.041177014136,CTAS,1
window_252d_recent_weighted,2025-05-07,4812.64409711434,4668.918482295236,9481.562579409576,MNST,1
window_252d_recent_weighted,2025-05-08,4536.774465044924,4477.896266135129,9014.670731180053,CPRT,1
window_252d_recent_weighted,2025-05-09,5793.331291302725,3669.12906649084,9462.460357793565,DASH,1
window_252d_recent_weighted,2025-05-12,5369.4346198411895,4459.93864460146,9829.373264442649,CTAS,1
window_252d_recent_weighted,2025-05-13,10275.367128902795,0.0,10275.367128902795,,0
window_252d_recent_weighted,2025-05-14,5564.930153619293,4710.436975283502,10275.367128902795,TTWO,1
window_252d_recent_weighted,2025-05-15,6143.636836515711,4602.773989915436,10746.410826431147,KLAC,1
window_252d_recent_weighted,2025-05-16,5278.665914188878,5007.4675132507255,10286.133427439603,MNST,1
window_252d_recent_weighted,2025-05-19,10786.880178764677,0.0,10786.880178764677,,0
window_252d_recent_weighted,2025-05-20,6953.689667698707,3833.1905110659704,10786.880178764677,COST,1
window_252d_recent_weighted,2025-05-21,5538.571982626349,4864.989145031731,10403.56112765808,ROST,1
window_252d_recent_weighted,2025-05-22,5502.893113718133,5387.166928443122,10890.060042161254,MNST,1
window_252d_recent_weighted,2025-05-23,6090.6363811151205,5338.140353890447,11428.776735005567,VRSK,1
window_252d_recent_weighted,2025-05-27,6231.4242791486395,5731.166491245973,11962.590770394612,TRI,1
window_252d_recent_weighted,2025-05-28,7905.762030236561,4629.94538928265,12535.70741951921,MSTR,1
window_252d_recent_weighted,2025-05-29,6572.5342270348065,6426.16773141267,12998.701958447476,TMUS,1
window_252d_recent_weighted,2025-05-30,8504.41604349524,5136.902688093504,13641.318731588744,AXON,1
window_252d_recent_weighted,2025-06-02,7352.349914246931,6802.659086151164,14155.009000398095,TMUS,1
window_252d_recent_weighted,2025-06-03,7641.1728733891,7194.102035624113,14835.274909013213,CTAS,1
window_252d_recent_weighted,2025-06-04,10458.668351872144,5096.016760703483,15554.685112575626,AXON,1
window_252d_recent_weighted,2025-06-05,11980.987841264443,4083.2989473815333,16064.286788645975,KLAC,1
window_252d_recent_weighted,2025-06-06,8425.621494758307,8046.995188625823,16472.61668338413,VRSK,1
window_252d_recent_weighted,2025-06-09,7920.964472438399,7746.9526920831495,15667.917164521548,TRI,1
window_252d_recent_weighted,2025-06-10,7549.6602906489325,7343.561604664302,14893.221895313234,TMUS,1
window_252d_recent_weighted,2025-06-11,7533.836047189497,6625.0296876573075,14158.865734846804,VRSK,1
window_252d_recent_weighted,2025-06-12,14821.368703612534,0.0,14821.368703612534,,0
window_252d_recent_weighted,2025-06-13,9663.54433449914,5157.824369113395,14821.368703612534,AXON,1
window_252d_recent_weighted,2025-06-16,8000.613451968311,7336.537688555563,15337.151140523874,IDXX,1
window_252d_recent_weighted,2025-06-17,9490.839529257628,5112.65784241069,14603.497371668318,AXON,1
window_252d_recent_weighted,2025-06-18,7095.927972517709,6996.303614909541,14092.23158742725,MNST,1
window_252d_recent_weighted,2025-06-20,8280.860629612722,5111.740596323575,13392.601225936298,AXON,1
window_252d_recent_weighted,2025-06-23,6451.154217149742,6430.272949154198,12881.42716630394,GILD,1
window_252d_recent_weighted,2025-06-24,6815.122880018342,6709.331581201019,13524.45446121936,MNST,1
window_252d_recent_weighted,2025-06-25,6494.231289570834,6359.290013528426,12853.52130309926,GILD,1
window_252d_recent_weighted,2025-06-26,6823.750722403182,6665.699582048922,13489.450304452104,MNST,1
window_252d_recent_weighted,2025-06-27,7893.854371179813,4929.0259750674,12822.880346247213,AXON,1
window_252d_recent_weighted,2025-06-30,8601.309648847131,4714.473294906823,13315.782943753955,AXON,1
window_252d_recent_weighted,2025-07-01,12844.335614263271,0.0,12844.335614263271,,0
window_252d_recent_weighted,2025-07-02,6571.565969299627,6272.769644963644,12844.335614263271,TRI,1
window_252d_recent_weighted,2025-07-03,6747.711417307479,6723.901161452157,13471.612578759636,KLAC,1
window_252d_recent_weighted,2025-07-07,9399.15075841996,3400.071704194459,12799.22246261442,AXON,1
window_252d_recent_weighted,2025-07-08,6776.6320848975065,5682.583207297468,12459.215292194975,ROP,1
window_252d_recent_weighted,2025-07-09,8383.091607796774,3507.8653636684544,11890.956971465228,AXON,1
window_252d_recent_weighted,2025-07-10,6344.218500633763,5195.951934464619,11540.170435098382,CTAS,1
window_252d_recent_weighted,2025-07-11,2503.6422572914744,8991.826594175584,11495.468851467058,"CTAS,INTU",2
window_252d_recent_weighted,2025-07-14,8138.214805119355,4565.406044482947,12703.620849602303,AXON,1
window_252d_recent_weighted,2025-07-15,13160.161454050598,0.0,13160.161454050598,,0
window_252d_recent_weighted,2025-07-16,6606.090383766632,6554.071070283966,13160.161454050598,TRI,1
window_252d_recent_weighted,2025-07-17,7005.851226834869,6809.7173342441265,13815.568561078995,ORLY,1
window_252d_recent_weighted,2025-07-18,9144.541834778262,5351.998459725146,14496.540294503407,KLAC,1
window_252d_recent_weighted,2025-07-21,9191.542972188845,4769.797476342048,13961.340448530893,KLAC,1
window_252d_recent_weighted,2025-07-22,7033.6482170317395,6450.712483864947,13484.360700896686,QCOM,1
window_252d_recent_weighted,2025-07-23,14129.431949283182,0.0,14129.431949283182,,0
window_252d_recent_weighted,2025-07-24,7395.545832118967,6733.886117164215,14129.431949283182,DASH,1
window_252d_recent_weighted,2025-07-25,9194.740847023402,5608.079713976202,14802.820560999604,KLAC,1
window_252d_recent_weighted,2025-07-28,15363.628532397224,0.0,15363.628532397224,,0
window_252d_recent_weighted,2025-07-29,15363.628532397224,0.0,15363.628532397224,,0
window_252d_recent_weighted,2025-07-30,7733.437021719076,7630.191510678148,15363.628532397224,FAST,1
window_252d_recent_weighted,2025-07-31,8208.817030027934,6391.792351301477,14600.60938132941,DASH,1
window_252d_recent_weighted,2025-08-01,7000.286980849419,6961.143165349845,13961.430146199264,ORLY,1
window_252d_recent_weighted,2025-08-04,14657.544462734248,0.0,14657.544462734248,,0
window_252d_recent_weighted,2025-08-05,7507.134547254877,7150.40991547937,14657.544462734248,ORLY,1
window_252d_recent_weighted,2025-08-06,15372.585454282187,0.0,15372.585454282187,,0
window_252d_recent_weighted,2025-08-07,8200.800928038885,7171.784526243302,15372.585454282187,NVDA,1
window_252d_recent_weighted,2025-08-08,11911.04118258963,4178.722724316888,16089.763906906519,KLAC,1
window_252d_recent_weighted,2025-08-11,9123.8213114403,7383.814867897904,16507.636179338206,LIN,1
window_252d_recent_weighted,2025-08-12,8784.433733674816,8461.583932453179,17246.017666127995,LRCX,1
window_252d_recent_weighted,2025-08-13,9301.693837290197,8790.482222083116,18092.176059373312,TRI,1
window_252d_recent_weighted,2025-08-14,9920.488803444428,9050.7354781372,18971.224281581628,KLAC,1
window_252d_recent_weighted,2025-08-15,9142.602461634931,8923.548272132975,18066.150733767907,CSGP,1
window_252d_recent_weighted,2025-08-18,3662.1825187535032,13717.623122271694,17379.805641025196,"CSGP,KLAC",2
window_252d_recent_weighted,2025-08-19,3292.1120031201663,13617.547906863383,16909.65990998355,"KLAC,LRCX",2
window_252d_recent_weighted,2025-08-20,10685.257588745237,5100.369927465931,15785.627516211167,KLAC,1
window_252d_recent_weighted,2025-08-21,16295.664508957761,0.0,16295.664508957761,,0
window_252d_recent_weighted,2025-08-22,16295.664508957761,0.0,16295.664508957761,,0
window_252d_recent_weighted,2025-08-25,8321.624502218037,7974.040006739725,16295.664508957761,ORLY,1
window_252d_recent_weighted,2025-08-26,17093.068509631736,0.0,17093.068509631736,,0
window_252d_recent_weighted,2025-08-27,17093.068509631736,0.0,17093.068509631736,,0
window_252d_recent_weighted,2025-08-28,8758.148651339356,8334.91985829238,17093.068509631736,ORLY,1
window_252d_recent_weighted,2025-08-29,9042.8722258846,8883.688269576374,17926.560495460973,FAST,1
