variant,date,cash,position_value,equity,open_tickers,open_count
window_60d,2025-03-17,5216.963885207447,4783.036114792553,10000.0,GEHC,1
window_60d,2025-03-18,4843.996751458502,4677.699637062242,9521.696388520744,GEHC,1
window_60d,2025-03-19,5032.354743631054,4957.111608595916,9989.46635222697,GEHC,1
window_60d,2025-03-20,5559.699386788961,3934.055804578417,9493.755191367378,KLAC,1
window_60d,2025-03-21,4637.60041518245,4462.749195727088,9100.349610909538,BKR,1
window_60d,2025-03-24,5543.616272009621,4003.008258472627,9546.624530482248,VRTX,1
window_60d,2025-03-25,4706.496835995891,4439.826868639095,9146.323704634986,GEHC,1
window_60d,2025-03-26,5694.818543964573,3007.5224738065026,8702.341017771076,CHTR,1
window_60d,2025-03-27,4846.644194037468,4156.449071114259,9003.093265151727,ROP,1
window_60d,2025-03-28,4355.716913672533,4231.731444367768,8587.448358040301,CSGP,1
window_60d,2025-03-31,6548.218893868033,2462.402608609046,9010.621502477079,INTU,1
window_60d,2025-04-01,6801.245718749105,2455.616044588878,9256.861763337984,INTU,1
window_60d,2025-04-02,6673.932982983829,2337.367175895267,9011.300158879096,INTU,1
window_60d,2025-04-03,4638.922443362444,4138.640997927125,8777.563441289569,VRTX,1
window_60d,2025-04-04,8363.699341496857,0.0,8363.699341496857,,0
window_60d,2025-04-07,4523.564059392542,3840.1352821043147,8363.699341496857,CSGP,1
window_60d,2025-04-08,4146.202194435364,3833.4836188510612,7979.685813286425,CPRT,1
window_60d,2025-04-09,4677.192918242544,3685.8412569289876,8363.034175171531,INTU,1
window_60d,2025-04-10,4554.63623707415,3439.813812404483,7994.450049478633,EA,1
window_60d,2025-04-11,4585.180596425858,3753.2508342932238,8338.431430719082,CSGP,1
window_60d,2025-04-14,4809.173470415384,3904.583043733021,8713.756514148405,CSGP,1
window_60d,2025-04-15,4568.5165321857285,4535.69828633598,9104.214818521708,TTWO,1
window_60d,2025-04-16,8650.644989888111,0.0,8650.644989888111,,0
window_60d,2025-04-17,5539.205276449403,3111.439713438708,8650.644989888111,VRTX,1
window_60d,2025-04-21,4284.892969811846,4054.6080487323948,8339.50101854424,QCOM,1
