label,lookback_days,success_rate_gate,min_matched_signals,trade_start,trade_end,final_equity,total_return_pct,max_drawdown_pct,trade_count,win_rate_pct,avg_trade_return_pct
lb60_gate80_m12,60,80.0,12,2021-01-01,2026-03-13,12974001.923200686,129640.01923200686,-62.51680132564717,1275,56.94117647058824,1.396084911622826
lb60_gate75_m12,60,75.0,12,2021-01-01,2026-03-13,12211029.400987517,122010.29400987519,-60.60348082547403,1280,56.875,1.382818954936799
lb60_gate85_m12,60,85.0,12,2021-01-01,2026-03-13,10756425.739779616,107464.25739779616,-61.54154255759144,1255,56.81274900398407,1.3705245118080502
lb60_gate80_m10,60,80.0,10,2021-01-01,2026-03-13,9525897.68214627,95158.9768214627,-62.41466088269835,1279,56.68491008600469,1.3448070854723249
lb252_gate75_m10,252,75.0,10,2021-01-01,2026-03-13,9445171.346060634,94351.71346060633,-68.23333403693677,1276,56.58307210031348,1.3238649318609128
lb252_gate80_m12,252,80.0,12,2021-01-01,2026-03-13,9079490.619288921,90694.9061928892,-62.90626538909076,1276,56.58307210031348,1.3238649318609126
lb60_gate75_m10,60,75.0,10,2021-01-01,2026-03-13,8893657.502985826,88836.57502985826,-61.347762641093816,1284,56.61993769470405,1.331782135762542
lb252_gate75_m12,252,75.0,12,2021-01-01,2026-03-13,8861532.59320349,88515.3259320349,-62.90626538909076,1278,56.57276995305164,1.3217931557547136
lb252_gate85_m12,252,85.0,12,2021-01-01,2026-03-13,8771294.559629846,87612.94559629846,-60.792683550849546,1257,56.64280031821798,1.3359201694944505
lb252_gate80_m10,252,80.0,10,2021-01-01,2026-03-13,8689127.71491343,86791.27714913429,-68.23333403693677,1275,56.549019607843135,1.3170601200427647
lb60_gate80_m8,60,80.0,8,2021-01-01,2026-03-13,7939547.948744736,79295.47948744736,-63.665866643997205,1279,56.5285379202502,1.3135326523214257
lb60_gate75_m8,60,75.0,8,2021-01-01,2026-03-13,7935623.029915805,79256.23029915805,-60.151965651677756,1285,56.49805447470817,1.3073994259292636
lb252_gate85_m10,252,85.0,10,2021-01-01,2026-03-13,7807856.172547296,77978.56172547296,-65.15470825789077,1256,56.608280254777064,1.3290220167631563
lb60_gate85_m10,60,85.0,10,2021-01-01,2026-03-13,7772761.110946786,77627.61110946785,-58.81581264833508,1259,56.55281969817315,1.3185133139945222
lb60_gate85_m8,60,85.0,8,2021-01-01,2026-03-13,7589897.754434366,75798.97754434365,-58.166162185604676,1264,56.56645569620253,1.3212090682904296
lb80_gate80_m8,80,80.0,8,2021-01-01,2026-03-13,7261919.676413503,72519.19676413503,-74.25213469009078,1275,56.549019607843135,1.3176535390738071
lb80_gate75_m8,80,75.0,8,2021-01-01,2026-03-13,7221143.724224586,72111.43724224585,-74.5907386175052,1283,56.50818394388153,1.3094374608878439
lb80_gate85_m8,80,85.0,8,2021-01-01,2026-03-13,6068674.493580517,60586.744935805174,-76.85926175126059,1264,56.40822784810127,1.289563498670177
lb80_gate80_m12,80,80.0,12,2021-01-01,2026-03-13,5673396.024539328,56633.96024539328,-65.08580238064381,1272,56.367924528301884,1.2814530364143897
lb80_gate75_m12,80,75.0,12,2021-01-01,2026-03-13,5574510.89448873,55645.108944887295,-65.11905037878208,1279,56.29397967161845,1.2666210025950768
lb252_gate75_m8,252,75.0,8,2021-01-01,2026-03-13,5265772.565753851,52557.72565753852,-65.01214500479583,1275,56.23529411764706,1.2503934533760976
lb252_gate80_m8,252,80.0,8,2021-01-01,2026-03-13,5166761.918907428,51567.619189074285,-65.01214500479583,1274,56.20094191522763,1.2435256303410709
lb252_gate85_m8,252,85.0,8,2021-01-01,2026-03-13,5081383.119231132,50713.83119231132,-61.40847125405523,1256,56.28980891719745,1.2613468575274875
lb80_gate85_m12,80,85.0,12,2021-01-01,2026-03-13,4569646.099143987,45596.46099143986,-70.01256975123754,1258,56.20031796502385,1.2480192864221806
lb40_gate75_m12,40,75.0,12,2021-01-01,2026-03-13,3894317.0030133203,38843.1700301332,-54.647443534658265,1271,55.94020456333596,1.1959087332808875
lb80_gate80_m10,80,80.0,10,2021-01-01,2026-03-13,3673887.334253844,36638.873342538434,-70.98905755845387,1272,56.05345911949685,1.2185599546533834
lb126_gate80_m8,126,80.0,8,2021-01-01,2026-03-13,3526732.1817415226,35167.32181741523,-66.09800280296732,1280,55.703125,1.1703839419574062
lb40_gate80_m12,40,80.0,12,2021-01-01,2026-03-13,3364304.6874535615,33543.04687453562,-53.973212491399615,1263,55.89865399841647,1.1876484560570137
lb126_gate85_m8,126,85.0,8,2021-01-01,2026-03-13,3362351.0709006405,33523.510709006405,-65.38071649864511,1264,55.85443037974683,1.2010217133745882
lb126_gate75_m8,126,75.0,8,2021-01-01,2026-03-13,3277606.442502628,32676.06442502628,-68.69308098956431,1283,55.65081839438816,1.1598530364033357
lb40_gate85_m12,40,85.0,12,2021-01-01,2026-03-13,3181874.8707352737,31718.74870735274,-51.82209498661958,1248,55.92948717948718,1.193910256410263
lb80_gate75_m10,80,75.0,10,2021-01-01,2026-03-13,3106999.196484513,30969.991964845132,-71.40676536570967,1279,55.98123534010946,1.2040721362932787
lb80_gate85_m10,80,85.0,10,2021-01-01,2026-03-13,2749660.645006643,27396.60645006643,-72.7827626390251,1259,55.91739475774424,1.1914283259087404
lb40_gate85_m10,40,85.0,10,2021-01-01,2026-03-13,2266921.27438095,22569.212743809498,-56.8314086094926,1258,55.56438791732909,1.1208267090620094
lb126_gate85_m10,126,85.0,10,2021-01-01,2026-03-13,2200890.8798806565,21908.908798806566,-60.91661476048951,1263,55.5027711797308,1.1307137337335544
lb126_gate75_m10,126,75.0,10,2021-01-01,2026-03-13,2180785.363651035,21707.85363651035,-65.87066976824396,1283,55.339049103663285,1.0974991782583625
lb126_gate80_m10,126,80.0,10,2021-01-01,2026-03-13,2075965.4575150986,20659.654575150988,-63.82822702536423,1279,55.355746677091474,1.1009315447267234
lb40_gate75_m8,40,75.0,8,2021-01-01,2026-03-13,2060676.155782018,20506.76155782018,-56.267089052644046,1280,55.39062500000001,1.0859375000000064
lb126_gate85_m12,126,85.0,12,2021-01-01,2026-03-13,2055371.3521269604,20453.7135212696,-50.041530700966,1264,55.45886075949367,1.1083377436901642
lb40_gate85_m8,40,85.0,8,2021-01-01,2026-03-13,2004965.4875637055,19949.654875637054,-55.90886958590742,1261,55.43219666931007,1.094369547977802
lb40_gate75_m10,40,75.0,10,2021-01-01,2026-03-13,2000224.738117732,19902.24738117732,-63.43429522247015,1278,55.39906103286385,1.0876369327073614
