ticker,pnl,share_of_total_pnl_pct
KLAC,1726932.759946316,18.147870202370793
GILD,1110065.8929296578,11.665382815247833
INSM,1037499.6846985234,10.90280412162355
WDC,793856.89756493,8.342427841089178
ORLY,699591.1684118374,7.351814739710901
STX,680335.4466670665,7.149461557825617
CTSH,646120.9911351074,6.789911080563211
WBD,641723.4612591919,6.74369862617579
ADI,615507.5406991248,6.468202593791443
AAPL,597538.6986750059,6.279372883507441
HON,563728.4295982365,5.9240698925956705
MDLZ,538272.2233606745,5.656557492947627
VRTX,519324.28530995466,5.457438726819342
GOOG,481573.66123558313,5.060727608905587
ALNY,466573.90725441003,4.9030992433829566
FAST,447310.52590812,4.7006655688129575
FANG,442226.5482386439,4.647239419864187
CMCSA,375467.22242055926,3.9456836859964457
INTC,374706.4752685763,3.937689199533962
DASH,278402.41204072325,2.9256557955962674
MAR,215629.63853279472,2.265993663817541
TMUS,214091.9832086783,2.249834859094353
EA,210986.1859754917,2.217196874356311
MU,206793.85864279463,2.1731408381027606
CEG,198879.2473626088,2.0899683246463034
LRCX,183033.9503000169,1.9234543751287414
COST,150160.24556098765,1.5779934860241127
MSTR,149575.97533614893,1.5718535479504308
AVGO,133124.25937318243,1.3989669059068406
NVDA,113439.43544527785,1.192104405011762
CPRT,84134.95495230731,0.8841515300249743
CTAS,81360.03515826259,0.854990646977114
BKR,78978.38398614072,0.829962517717272
FTNT,75328.0076001663,0.7916016976674385
ISRG,66374.10101027845,0.6975075103509105
AXON,65907.17697120667,0.6926007316667742
APP,54913.311867461984,0.5770691709988681
CSGP,54513.333460462745,0.5728659058907356
CHTR,37334.27172898374,0.3923357835071127
MELI,35036.95804704094,0.368193934165321
META,34789.222206090904,0.36559054508711725
QCOM,34464.168414225394,0.3621746425341151
PANW,32076.543786143837,0.3370837398380802
AMD,30770.66461743405,0.32336060816591145
WDAY,27463.559408713878,0.2886071322544905
SNPS,17126.417239985232,0.17997689563348104
ODFL,16517.16808890406,0.17357446076678165
PLTR,11153.894954408344,0.11721327116973196
VRSK,10512.278466470947,0.1104706966973183
SHOP,1757.796700040325,0.01847221101734105
CDNS,1693.3184988754474,0.017794627006682218
ADSK,1231.072827867778,0.012937012029642954
ADBE,-4445.723659316562,-0.046718909847650314
TTWO,-5771.741702503321,-0.06065367551536693
GOOGL,-7704.673959217477,-0.08096633882132832
MRVL,-13384.462377265847,-0.1406537020924235
MNST,-15748.82553316217,-0.16550015625651504
PYPL,-29901.823344882912,-0.314230189769534
INTU,-29932.719615776892,-0.3145548703401537
CRWD,-30367.87001354227,-0.3191277484048455
AMZN,-31585.279712441283,-0.3319211783004098
MPWR,-31984.042029106524,-0.3361116638434963
DDOG,-33867.78039250663,-0.35590736180412463
AMAT,-50401.295292906056,-0.529653606800218
BKNG,-53659.17018797051,-0.5638897346347667
NFLX,-63367.18743561726,-0.6659086672874468
GEHC,-88146.60518039945,-0.9263088793585931
IDXX,-104437.96260855978,-1.0975103568474294
WMT,-122425.5345886724,-1.2865368951829654
TSLA,-198538.18153969862,-2.0863841559813743
ROST,-213127.93377973977,-2.2397039238831926
ABNB,-213194.5902946015,-2.240404399204473
ROP,-228290.91252363895,-2.399047574376072
TEAM,-293606.4766133678,-3.085431205972636
REGN,-316564.9286919414,-3.326695381412944
KDP,-501353.99866721686,-5.268593835428237
DXCM,-554679.0861051752,-5.828972784626134
XEL,-555504.3260120032,-5.837645008039973
TXN,-664984.5822998937,-6.988143468036001
ZS,-755664.3146254753,-7.941072296765579
CSX,-937369.9414188261,-9.85056767873324
