ticker,entry_date,exit_date,success_rate,matched_signals,allocated_cash,contracts,entry_option_price,exit_option_price,entry_spot,exit_spot_close,pnl,return_pct,exit_reason
GEHC,2025-03-17,2025-03-18,100.0,43,4783.019546979663,22,2.174099794081665,1.9566898146734983,82.47000122070312,82.13999938964844,-478.3019546979667,-10.000000000000009,stop
GEHC,2025-03-18,2025-03-19,100.0,14,4677.687173231042,22,2.1262214423777466,2.3388435866155213,82.13999938964844,82.4000015258789,467.7687173231052,10.000000000000021,tp_day1
GEHC,2025-03-19,2025-03-20,100.0,43,4957.098072812619,23,2.1552600316576602,1.9397340284918942,82.4000015258789,81.80999755859375,-495.70980728126233,-10.000000000000009,stop
KLAC,2025-03-20,2025-03-21,95.0,20,3934.0534751910823,1,39.34053475191082,35.406481276719745,716.4600219726562,706.489990234375,-393.40534751910764,-9.999999999999986,stop
BKR,2025-03-21,2025-03-24,100.0,13,4462.752041282471,25,1.7851008165129885,1.9636108981642875,44.11000061035156,44.599998474121094,446.27520412824833,10.000000000000028,tp_day1
VRTX,2025-03-24,2025-03-25,94.87179487179486,39,4003.008258472627,3,13.343360861575423,12.009024775417881,511.739990234375,509.0400085449219,-400.3008258472628,-10.000000000000002,stop
GEHC,2025-03-25,2025-03-26,97.87234042553192,47,4439.819865926931,20,2.2199099329634655,1.997918939667119,82.45999908447266,81.0,-443.9819865926929,-9.999999999999996,stop
CHTR,2025-03-26,2025-03-27,93.18181818181817,44,3007.5224738065026,2,15.037612369032514,16.541373605935767,384.7699890136719,382.0199890136719,300.7522473806507,10.000000000000014,tp_day1
ROP,2025-03-27,2025-03-28,95.83333333333334,24,4156.450012478934,3,13.85483337492978,12.469350037436802,592.5499877929688,582.6400146484375,-415.6450012478931,-9.999999999999993,stop
CSGP,2025-03-28,2025-03-31,100.0,10,4231.731444367768,13,3.2551780341290524,3.580695837541958,79.30999755859375,79.2300033569336,423.17314443677697,10.000000000000005,tp_day1
INTU,2025-03-31,2025-04-01,100.0,33,2462.400607302477,1,24.62400607302477,27.08640668032725,613.989990234375,613.780029296875,246.24006073024793,10.000000000000009,tp_day1
INTU,2025-04-01,2025-04-02,100.0,27,2455.613939036062,1,24.55613939036062,22.100525451324557,613.780029296875,620.9099731445312,-245.5613939036066,-10.000000000000014,stop
INTU,2025-04-02,2025-04-03,100.0,26,2337.364540507868,1,23.37364540507868,21.036280864570813,620.9099731445312,598.530029296875,-233.7364540507865,-9.999999999999988,stop
VRTX,2025-04-03,2025-04-04,90.9090909090909,33,4138.640997927125,3,13.795469993090416,12.415922993781374,484.010009765625,474.6199951171875,-413.86409979271275,-10.000000000000005,stop
CSGP,2025-04-07,2025-04-08,95.1219512195122,41,3840.1352821043147,10,3.8401352821043147,3.4561217538938833,75.75,73.2300033569336,-384.01352821043156,-10.000000000000002,stop
CPRT,2025-04-08,2025-04-09,92.10526315789474,38,3833.4836188510612,21,1.825468389929077,2.008015228921985,54.59000015258789,58.52000045776367,383.34836188510644,10.000000000000009,tp_day1
INTU,2025-04-09,2025-04-10,100.0,33,3685.8390389622236,1,36.85839038962224,33.172551350660015,596.47998046875,577.469970703125,-368.5839038962222,-9.999999999999995,stop
EA,2025-04-10,2025-04-11,90.9090909090909,22,3439.8117654291736,6,5.733019609048623,6.306321569953486,139.38999938964844,142.92999267578125,343.9811765429181,10.000000000000021,tp_day1
CSGP,2025-04-11,2025-04-14,100.0,23,3753.2508342932238,8,4.69156354286653,5.160719897153183,77.38999938964844,79.52999877929688,375.3250834293226,10.000000000000005,tp_day1
CSGP,2025-04-14,2025-04-15,95.0,40,3904.583043733021,8,4.880728804666276,5.368801685132905,79.52999877929688,80.51000213623047,390.4583043733023,10.000000000000005,tp_day1
TTWO,2025-04-15,2025-04-16,93.18181818181817,44,4535.69828633598,4,11.33924571583995,10.205321144255954,214.60000610351562,211.39999389648438,-453.56982863359826,-10.000000000000005,stop
VRTX,2025-04-17,2025-04-21,91.48936170212765,47,3111.439713438708,2,15.557198567193542,14.001478710474188,489.1000061035156,477.5199890136719,-311.14397134387036,-9.999999999999986,stop
