date,baseline_qqq_only_filtered,plus_tqqq,plus_soxl,plus_upro,plus_soxl_upro,plus_tqqq_soxl_upro
2025-03-31,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2025-04-01,10482.39053834628,10482.39053834628,10482.39053834628,10482.39053834628,10482.39053834628,10482.39053834628
2025-04-02,9991.267022723081,9991.267022723081,9991.267022723081,9991.267022723081,9991.267022723081,9991.267022723081
2025-04-03,9523.793552387993,9523.793552387993,9523.793552387993,9523.793552387993,9523.793552387993,9523.793552387993
2025-04-04,9109.929452595281,9109.929452595281,9109.929452595281,9109.929452595281,9109.929452595281,9109.929452595281
2025-04-07,8681.797229107136,8681.797229107136,8681.797229107136,8681.797229107136,8681.797229107136,8681.797229107136
2025-04-08,8259.382348075662,8259.382348075662,8259.382348075662,8259.382348075662,8259.382348075662,8259.382348075662
2025-04-09,8660.985393860057,8660.985393860057,8660.985393860057,8660.985393860057,8660.985393860057,8660.985393860057
2025-04-10,8244.92904484495,8244.92904484495,8244.92904484495,8244.92904484495,8244.92904484495,8244.92904484495
2025-04-11,8653.556201159507,8653.556201159507,8653.556201159507,8653.556201159507,8653.556201159507,8653.556201159507
2025-04-14,9075.796920017496,9075.796920017496,9075.796920017496,9075.796920017496,9075.796920017496,9075.796920017496
2025-04-15,9515.06251243746,9515.06251243746,9515.06251243746,9515.06251243746,9515.06251243746,9515.06251243746
2025-04-16,9082.592562170566,9082.592562170566,9082.592562170566,9082.592562170566,9082.592562170566,9082.592562170566
2025-04-17,9082.592562170566,9082.592562170566,9082.592562170566,9082.592562170566,9082.592562170566,9082.592562170566
2025-04-21,9082.592562170566,9082.592562170566,9082.592562170566,9082.592562170566,9082.592562170566,9082.592562170566
2025-04-22,9530.788041119631,9530.788041119631,9530.788041119631,9530.788041119631,9530.788041119631,9530.788041119631
2025-04-23,9939.270990002624,9939.270990002624,9939.270990002624,9939.270990002624,9939.270990002624,9939.270990002624
2025-04-24,10327.753425736251,10327.753425736251,10327.753425736251,10327.753425736251,10327.753425736251,10327.753425736251
2025-04-25,10809.668014348521,10809.668014348521,10809.668014348521,10809.668014348521,10809.668014348521,10809.668014348521
