date,Always On (0),Gate >= 35,Gate >= 50,Gate >= 60,Gate >= 70
2021-04-05,10000.0,10000.0,10000.0,10000.0,10000.0
2021-04-06,9528.377903573093,9528.377903573093,9528.377903573093,9528.377903573093,9528.377903573093
2021-04-07,9056.972077748098,9056.972077748098,9056.972077748098,9056.972077748098,9056.972077748098
2021-04-08,9413.240820479454,9413.240820479454,9413.240820479454,9413.240820479454,9413.240820479454
2021-04-09,9020.70547827159,9020.70547827159,9020.70547827159,9020.70547827159,9020.70547827159
2021-04-12,9441.938409380267,9441.938409380267,9441.938409380267,9441.938409380267,9441.938409380267
2021-04-13,9806.429301721855,9806.429301721855,9806.429301721855,9806.429301721855,9806.429301721855
2021-04-14,9380.396411786267,9380.396411786267,9380.396411786267,9380.396411786267,9380.396411786267
2021-04-15,8913.163707691157,8913.163707691157,8913.163707691157,8913.163707691157,8913.163707691157
2021-04-16,9356.40972023368,9356.40972023368,9356.40972023368,9356.40972023368,9356.40972023368
2021-04-19,8912.837696181508,8912.837696181508,8912.837696181508,8912.837696181508,8912.837696181508
2021-04-20,9357.092946437511,9357.092946437511,9357.092946437511,9357.092946437511,9357.092946437511
2021-04-21,8920.420747898143,8920.420747898143,8920.420747898143,8920.420747898143,8920.420747898143
2021-04-22,8481.701653888496,8481.701653888496,8481.701653888496,8481.701653888496,8481.701653888496
2021-04-23,8063.333605027014,8063.333605027014,8063.333605027014,8063.333605027014,8063.333605027014
2021-04-26,7663.995623860079,7663.995623860079,7663.995623860079,7663.995623860079,7663.995623860079
2021-04-27,7977.476932463281,7977.476932463281,7977.476932463281,7977.476932463281,7977.476932463281
2021-04-28,7583.466940440745,7583.466940440745,7583.466940440745,7583.466940440745,7583.466940440745
2021-04-29,7249.396970488061,7249.396970488061,7249.396970488061,7249.396970488061,7249.396970488061
2021-04-30,7567.0211941294365,7567.0211941294365,7567.0211941294365,7567.0211941294365,7567.0211941294365
2021-05-03,7936.930312114162,7936.930312114162,7936.930312114162,7936.930312114162,7936.930312114162
2021-05-04,7559.615459426992,7559.615459426992,7559.615459426992,7559.615459426992,7559.615459426992
2021-05-05,7186.15966589257,7186.15966589257,7186.15966589257,7186.15966589257,7186.15966589257
2021-05-06,6855.578074916335,6855.578074916335,6855.578074916335,6855.578074916335,6855.578074916335
2021-05-07,7169.399903093605,7169.399903093605,7169.399903093605,7169.399903093605,7169.399903093605
2021-05-10,7526.166408793839,7526.166408793839,7526.166408793839,7526.166408793839,7526.166408793839
2021-05-11,7154.536412268384,7154.536412268384,7154.536412268384,7154.536412268384,7154.536412268384
2021-05-12,6876.906594546672,6876.906594546672,6876.906594546672,6876.906594546672,6876.906594546672
2021-05-13,6554.549936231151,6554.549936231151,6554.549936231151,6554.549936231151,6554.549936231151
2021-05-14,6775.642040848522,6775.642040848522,6775.642040848522,6775.642040848522,6775.642040848522
2021-05-17,7113.427148435718,7113.427148435718,7113.427148435718,7113.427148435718,7113.427148435718
2021-05-18,7404.574203127186,7404.574203127186,7404.574203127186,7404.574203127186,7404.574203127186
2021-05-19,7051.931752307892,7051.931752307892,7051.931752307892,7051.931752307892,7051.931752307892
2021-05-20,7397.181890252225,7397.181890252225,7397.181890252225,7397.181890252225,7397.181890252225
2021-05-21,7707.163769988489,7707.163769988489,7707.163769988489,7707.163769988489,7707.163769988489
2021-05-24,8003.599080569098,8003.599080569098,8003.599080569098,8003.599080569098,8003.599080569098
2021-05-25,8388.796172826416,8388.796172826416,8388.796172826416,8388.796172826416,8388.796172826416
2021-05-26,7969.883435401949,7969.883435401949,7969.883435401949,7969.883435401949,7969.883435401949
2021-05-27,8359.243810142394,8359.243810142394,8359.243810142394,8359.243810142394,8359.243810142394
2021-05-28,8768.985628932618,8768.985628932618,8768.985628932618,8768.985628932618,8768.985628932618
2021-06-01,8349.886047004251,8349.886047004251,8349.886047004251,8349.886047004251,8349.886047004251
2021-06-02,7969.29965625646,7969.29965625646,7969.29965625646,7969.29965625646,7969.29965625646
2021-06-03,7585.571511158075,7585.571511158075,7585.571511158075,7585.571511158075,7585.571511158075
2021-06-04,7930.544354966338,7930.544354966338,7930.544354966338,7930.544354966338,7930.544354966338
2021-06-07,7538.820570447613,7538.820570447613,7538.820570447613,7538.820570447613,7538.820570447613
2021-06-08,7906.250528944287,7906.250528944287,7906.250528944287,7906.250528944287,7906.250528944287
2021-06-09,8298.923758440524,8298.923758440524,8298.923758440524,8298.923758440524,8298.923758440524
2021-06-10,8629.700460548302,8629.700460548302,8629.700460548302,8629.700460548302,8629.700460548302
2021-06-11,9020.351471033297,9020.351471033297,9020.351471033297,9020.351471033297,9020.351471033297
2021-06-14,9437.798343199876,9437.798343199876,9437.798343199876,9437.798343199876,9437.798343199876
2021-06-15,9855.815045541238,9855.815045541238,9855.815045541238,9855.815045541238,9855.815045541238
2021-06-16,9367.58227162562,9367.58227162562,9367.58227162562,9367.58227162562,9367.58227162562
2021-06-17,9769.577231486617,9769.577231486617,9769.577231486617,9769.577231486617,9769.577231486617
2021-06-18,9289.66642505948,9289.66642505948,9289.66642505948,9289.66642505948,9289.66642505948
2021-06-21,8872.627334588233,8872.627334588233,8872.627334588233,8872.627334588233,8872.627334588233
2021-06-22,8872.627334588233,8872.627334588233,8872.627334588233,8872.627334588233,8872.627334588233
2021-06-23,8511.857645960965,8511.857645960965,8511.857645960965,8511.857645960965,8511.857645960965
2021-06-24,8902.489586523374,8902.489586523374,8902.489586523374,8902.489586523374,8902.489586523374
2021-06-25,9300.561219570125,9300.561219570125,9300.561219570125,9300.561219570125,9300.561219570125
