date,cash,position_value,equity,open_tickers,open_count,entry_action,entry_ticker,entry_score
2025-04-23,6115.177844708191,3884.8221552918094,10000.0,TMUS,1,enter_or_hold,,
2025-04-24,5569.336329406489,4819.145886122691,10388.48221552918,CSGP,1,enter_or_hold,,
2025-04-25,6082.512537853934,4787.884266287518,10870.396804141452,AMAT,1,enter_or_hold,,
2025-04-28,5757.536182311875,5591.649048458328,11349.185230770203,MSTR,1,enter_or_hold,,
2025-04-29,6027.898160272589,5880.451975343449,11908.350135616038,CSGP,1,enter_or_hold,,
2025-04-30,5890.756054744829,5429.5488833368645,11320.304938081694,EA,1,enter_or_hold,,
2025-05-01,6309.673436928885,5553.586389486497,11863.259826415382,BKNG,1,enter_or_hold,,
2025-05-02,12418.618465364032,0.0,12418.618465364032,,0,enter_or_hold,,
2025-05-05,6230.440941164664,6188.177524199368,12418.618465364032,MNST,1,enter_or_hold,,
2025-05-06,11799.800712944096,0.0,11799.800712944096,,0,skip,EA,0.4935994289146868
2025-05-07,6150.388006917305,5649.412706026791,11799.800712944096,CSGP,1,enter_or_hold,,
2025-05-08,6325.298133607455,6039.44384993932,12364.741983546775,EA,1,enter_or_hold,,
2025-05-09,11760.797598552843,0.0,11760.797598552843,,0,skip,DASH,0.4850421976876993
2025-05-12,5951.087879593137,5809.709718959706,11760.797598552843,CSGP,1,enter_or_hold,,
2025-05-13,8072.790915757475,4268.977654691339,12341.768570448814,INTU,1,enter_or_hold,,
2025-05-14,6880.62011681357,5888.046219104377,12768.666335917947,TTWO,1,enter_or_hold,,
2025-05-15,7447.77134224475,5909.699615583638,13357.470957828387,AMAT,1,enter_or_hold,,
2025-05-16,12766.500996270024,0.0,12766.500996270024,,0,skip,MNST,0.4824894824869599
2025-05-19,6415.486630893624,6351.0143653764,12766.500996270024,MNST,1,enter_or_hold,,
2025-05-20,6811.444442707212,6590.157990100452,13401.602432807664,MNST,1,enter_or_hold,,
2025-05-21,14060.618231817709,0.0,14060.618231817709,,0,skip,MSTR,0.30781676404562724
2025-05-22,7071.861135459065,6988.757096358644,14060.618231817709,MNST,1,enter_or_hold,,
2025-05-23,14759.493941453575,0.0,14759.493941453575,,0,skip,LRCX,0.458932863843916
2025-05-27,14759.493941453575,0.0,14759.493941453575,,0,skip,MSTR,0.4557383010968769
2025-05-28,14759.493941453575,0.0,14759.493941453575,,0,skip,MSTR,0.38780860181258503
2025-05-29,14759.493941453575,0.0,14759.493941453575,,0,skip,ZS,0.4441555230440395
2025-05-30,14759.493941453575,0.0,14759.493941453575,,0,skip,MNST,0.48009980437639393
2025-06-02,9566.546068974752,5192.947872478821,14759.493941453573,AXON,1,enter_or_hold,,
2025-06-03,15278.788728701456,0.0,15278.788728701456,,0,skip,ZS,0.47701239069075707
2025-06-04,15278.788728701456,0.0,15278.788728701456,,0,skip,SNPS,0.4958725114544241
2025-06-05,10148.571931769255,5130.216796932202,15278.788728701456,AXON,1,enter_or_hold,,
2025-06-06,14765.767049008236,0.0,14765.767049008236,,0,skip,CEG,0.40916149583310246
2025-06-09,14765.767049008236,0.0,14765.767049008236,,0,skip,ADSK,0.4385270158143043
2025-06-10,14765.767049008236,0.0,14765.767049008236,,0,skip,BKNG,0.4942599767995705
2025-06-11,14765.767049008236,0.0,14765.767049008236,,0,skip,BKNG,0.4793881751164382
2025-06-12,8305.387079931364,6460.379969076872,14765.767049008236,CRWD,1,enter_or_hold,,
2025-06-13,7098.720142444589,7021.0089096559595,14119.729052100549,MSFT,1,enter_or_hold,,
2025-06-16,7928.626673623125,6893.203269443022,14821.829943066146,CDNS,1,enter_or_hold,,
2025-06-17,15511.15027001045,0.0,15511.15027001045,,0,skip,CRWD,0.4987890821375772
2025-06-18,15511.15027001045,0.0,15511.15027001045,,0,skip,ADSK,0.49701519043772424
2025-06-20,15511.15027001045,0.0,15511.15027001045,,0,skip,MNST,0.4437508246438421
2025-06-23,15511.15027001045,0.0,15511.15027001045,,0,skip,ADSK,0.461471487829302
2025-06-24,15511.15027001045,0.0,15511.15027001045,,0,skip,AXON,0.36216089150159514
2025-06-25,15511.15027001045,0.0,15511.15027001045,,0,skip,GILD,0.4969023024911709
2025-06-26,15511.15027001045,0.0,15511.15027001045,,0,skip,ADSK,0.49606276132619326
2025-06-27,15511.15027001045,0.0,15511.15027001045,,0,skip,PANW,0.4996499626578239
2025-06-30,15511.15027001045,0.0,15511.15027001045,,0,skip,GOOGL,0.4630260335950185
2025-07-01,15511.15027001045,0.0,15511.15027001045,,0,skip,ADSK,0.4708146303989415
2025-07-02,8725.833495889494,6785.316774120956,15511.15027001045,CRWD,1,enter_or_hold,,
2025-07-03,16189.681947422547,0.0,16189.681947422547,,0,skip,ALNY,0.47892178272633307
2025-07-07,16189.681947422547,0.0,16189.681947422547,,0,skip,AXON,0.46978235881300123
2025-07-08,16189.681947422547,0.0,16189.681947422547,,0,skip,CRWD,0.4621184641519676
2025-07-09,16189.681947422547,0.0,16189.681947422547,,0,skip,AXON,0.4620613855916717
2025-07-10,16189.681947422547,0.0,16189.681947422547,,0,skip,ALNY,0.4299786743105289
2025-07-11,8121.125765838001,8068.556181584546,16189.681947422547,WBD,1,enter_or_hold,,
2025-07-14,16996.537565581002,0.0,16996.537565581002,,0,skip,AXON,0.4755920822877686
2025-07-15,16996.537565581002,0.0,16996.537565581002,,0,skip,GEHC,0.4807518758427081
2025-07-16,16996.537565581002,0.0,16996.537565581002,,0,skip,NVDA,0.47756597700432396
2025-07-17,16996.537565581002,0.0,16996.537565581002,,0,skip,SOXL,0.45862917244784895
2025-07-18,16996.537565581002,0.0,16996.537565581002,,0,skip,SOXL,0.4761961721201309
2025-07-21,16996.537565581002,0.0,16996.537565581002,,0,skip,WBD,0.4908701563360012
2025-07-22,8726.54237831786,8269.995187263143,16996.537565581002,UPRO,1,enter_or_hold,,
2025-07-23,17823.537084307318,0.0,17823.537084307318,,0,skip,ALNY,0.47138512764126245
2025-07-24,17823.537084307318,0.0,17823.537084307318,,0,skip,WBD,0.47818799706821535
2025-07-25,17823.537084307318,0.0,17823.537084307318,,0,skip,ALNY,0.47461004617627117
2025-07-28,17823.537084307318,0.0,17823.537084307318,,0,skip,CEG,0.4579769295274815
2025-07-29,17823.537084307318,0.0,17823.537084307318,,0,skip,SOXL,0.43769279610520373
2025-07-30,17823.537084307318,0.0,17823.537084307318,,0,skip,LRCX,0.491311849022725
