ticker,entry_date,exit_date,success_rate,matched_signals,allocated_cash,contracts,entry_option_price,exit_option_price,pnl,return_pct,exit_reason,score_column,score_threshold
TMUS,2025-04-23,2025-04-24,100.0,10,3884.8221552918094,3,12.94940718430603,14.244347902736635,388.4822155291813,10.000000000000009,tp_day1,score_w5,0.5
CSGP,2025-04-24,2025-04-25,95.1219512195122,41,4819.145886122691,9,5.354606540136324,5.890067194149957,481.91458861227056,10.00000000000003,tp_day1,score_w5,0.5
AMAT,2025-04-25,2025-04-28,94.28571428571428,35,4787.884266287518,3,15.959614220958393,17.555575643054233,478.78842662875195,10.000000000000004,tp_day1,score_w5,0.5
MSTR,2025-04-28,2025-04-29,91.66666666666666,24,5591.649048458328,1,55.916490484583285,61.50813953304162,559.1649048458339,10.00000000000002,tp_day1,score_w5,0.5
CSGP,2025-04-29,2025-04-30,100.0,20,5880.451975343449,11,5.345865432130409,4.811278888917368,-588.045197534344,-9.999999999999984,stop,score_w5,0.5
EA,2025-04-30,2025-05-01,100.0,12,5429.5488833368645,8,6.7869361041710805,7.465629714588189,542.9548883336874,10.000000000000018,tp_day1,score_w5,0.5
BKNG,2025-05-01,2025-05-02,94.11764705882352,17,5553.586389486497,4,13.883965973716242,15.272362571087868,555.35863894865,10.000000000000005,tp_day1,score_w5,0.5
MNST,2025-05-05,2025-05-06,96.42857142857143,28,6188.177524199368,27,2.2919176015553218,2.0627258413997898,-618.8177524199355,-9.999999999999979,stop,score_w5,0.5
CSGP,2025-05-07,2025-05-08,97.22222222222221,36,5649.412706026791,10,5.649412706026791,6.214353976629471,564.9412706026797,10.00000000000001,tp_day1,score_w5,0.5
EA,2025-05-08,2025-05-09,92.85714285714286,14,6039.44384993932,11,5.490403499944837,4.941363149950353,-603.9443849939316,-9.999999999999993,stop,score_w5,0.5
CSGP,2025-05-12,2025-05-13,96.96969696969697,33,5809.709718959706,12,4.841424765799755,5.325567242379731,580.9709718959712,10.000000000000009,tp_day1,score_w5,0.5
INTU,2025-05-13,2025-05-14,94.73684210526315,19,4268.977654691339,2,21.344888273456696,23.479377100802367,426.89776546913436,10.00000000000001,tp_day1,score_w5,0.5
