ticker,name,exchange,source,last_sale,market_cap,volume,sector,industry
ASML,ASML Holding N.V. New York Registry Shares,NASDAQ,NASDAQ,1351.58,520922807661.0,1779332,Technology,Industrial Machinery/Components
SHOP,Shopify Inc. Class A Subordinate Voting Shares,NASDAQ,NASDAQ,126.17,164539731931.0,5823404,Technology,Computer Software: Prepackaged Software
SNY,Sanofi ADS,NASDAQ,NASDAQ,43.63,106407208397.0,7540429,Health Care,Biotechnology: Pharmaceutical Preparations
MELI,MercadoLibre Inc. Common Stock,NASDAQ,NASDAQ,1680.0,85171265760.0,1202344,Real Estate,Real Estate
MRVL,Marvell Technology Inc. Common Stock,NASDAQ,NASDAQ,87.67,76376940356.0,16825852,Technology,Semiconductors
ELVR,Elevra Lithium Limited American Depository Shares,NASDAQ,NASDAQ,52.08,60117485620.0,98549,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
MDLN,Medline Inc. Class A Common Stock,NASDAQ,NASDAQ,41.07,53953388431.0,6048437,Health Care,Medical/Dental Instruments
FER,Ferrovial SE Ordinary Shares,NASDAQ,NASDAQ,64.35,46297106341.0,1436282,Industrials,Military/Government/Technical
CCEP,Coca-Cola Europacific Partners plc Ordinary Shares,NASDAQ,NASDAQ,101.23,45956641693.0,1593836,Consumer Staples,Beverages (Production/Distribution)
MSTR,Strategy Inc Common Stock Class A,NASDAQ,NASDAQ,137.34,45837596917.0,15177382,Technology,Computer Software: Prepackaged Software
TRI,Thomson Reuters Corporation Common Shares,NASDAQ,NASDAQ,99.28,44156333037.0,2135779,Consumer Discretionary,Publishing
LITE,Lumentum Holdings Inc. Common Stock,NASDAQ,NASDAQ,616.09,43988826000.0,4898838,Telecommunications,Telecommunications Equipment
BIDU,Baidu Inc. ADS,NASDAQ,NASDAQ,123.16,42338823551.0,1957837,Technology,Computer Software: Programming Data Processing
ALNY,Alnylam Pharmaceuticals Inc. Common Stock,NASDAQ,NASDAQ,317.23,42072039971.0,1247277,Health Care,Biotechnology: Pharmaceutical Preparations
CRWV,CoreWeave Inc. Class A Common Stock,NASDAQ,NASDAQ,79.86,41981454301.0,16133614,Technology,Computer Software: Prepackaged Software
ESLT,Elbit Systems Ltd. Ordinary Shares,NASDAQ,NASDAQ,865.83,39872352915.0,265292,Industrials,Military/Government/Technical
RKLB,Rocket Lab Corporation Common Stock,NASDAQ,NASDAQ,68.37,38796245348.0,17636916,Industrials,Military/Government/Technical
ASTS,AST SpaceMobile Inc. Class A Common Stock,NASDAQ,NASDAQ,87.09,33269706207.0,9874692,Consumer Discretionary,Telecommunications Equipment
SATS,EchoStar  Corporation Common Stock,NASDAQ,NASDAQ,107.71,31114818773.0,6221640,Consumer Discretionary,Telecommunications Equipment
SYM,Symbotic Inc. Class A Common Stock,NASDAQ,NASDAQ,50.58,30457849239.0,1257710,Industrials,Industrial Machinery/Components
INSM,Insmed Incorporated Common Stock,NASDAQ,NASDAQ,139.52,30073800530.0,2157386,Health Care,Biotechnology: Pharmaceutical Preparations
TW,Tradeweb Markets Inc. Class A Common Stock,NASDAQ,NASDAQ,123.5,29102514786.0,1298039,Finance,Investment Bankers/Brokers/Service
NTRA,Natera Inc. Common Stock,NASDAQ,NASDAQ,190.31,26972874188.0,1758692,Health Care,Medical Specialities
RPRX,Royalty Pharma plc Class A Ordinary Shares ,NASDAQ,NASDAQ,45.87,26460419260.0,3834872,Health Care,Biotechnology: Pharmaceutical Preparations
NBIS,Nebius Group N.V. Class A Ordinary Shares,NASDAQ,NASDAQ,108.04,25725278101.0,13257222,Technology,Computer Software: Programming Data Processing
CASY,Casey's General Stores Inc. Common Stock,NASDAQ,NASDAQ,673.81,24903364004.0,390773,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
ZS,Zscaler Inc. Common Stock,NASDAQ,NASDAQ,151.61,24377478482.0,2295397,Technology,EDP Services
FTAI,FTAI Aviation Ltd. Common Stock,NASDAQ,NASDAQ,237.15,24325254063.0,1991829,Industrials,Misc Corporate Leasing Services
UTHR,United Therapeutics Corporation Common Stock,NASDAQ,NASDAQ,532.82,23352267655.0,622474,Health Care,Biotechnology: Pharmaceutical Preparations
FLEX,Flex Ltd. Ordinary Shares,NASDAQ,NASDAQ,63.295,23271921020.0,4627116,Technology,Electrical Products
LPLA,LPL Financial Holdings Inc. Common Stock,NASDAQ,NASDAQ,289.62,23192822021.0,1375012,Finance,Investment Bankers/Brokers/Service
GFS,GlobalFoundries Inc. Ordinary Shares,NASDAQ,NASDAQ,41.59,23119400843.0,16819683,Technology,Semiconductors
RGLD,Royal Gold Inc. Common Stock,NASDAQ,NASDAQ,269.83,22884308743.0,745221,Industrials,Precious Metals
BNTX,BioNTech SE American Depositary Share,NASDAQ,NASDAQ,90.1,22644413134.0,2350957,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
SOFI,SoFi Technologies Inc. Common Stock  ,NASDAQ,NASDAQ,17.7,22572170145.0,62812073,Finance,Finance: Consumer Services
ZM,Zoom Communications Inc. Class A Common Stock,NASDAQ,NASDAQ,74.94,22082336437.0,2932588,Technology,Computer Software: Programming Data Processing
FCNCA,First Citizens BancShares Inc. Class A Common Stock,NASDAQ,NASDAQ,1822.91,21760397502.0,113719,Finance,Major Banks
WWD,Woodward Inc. Common Stock,NASDAQ,NASDAQ,361.78,21567829087.0,674475,Energy,Industrial Machinery/Components
